"Business:","Summers Law,308 E 4500 S, Salt Lake City, UT 84107, United States"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 11:00:23
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.00"
"ATRP:","20.96"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.52825942806551","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.52825942806551,40.52825942806551","Fielding Law - Accident Attorneys","The Advocates","Utah Personal Injury Lawyers","Siegfried & Jensen","Craig Swapp & Associates","Kramer Law Group","Valiente Mott Injury Attorneys","William R. Rawlings & Associates","Larson Law","Robert J. DeBry & Associates","Craig Swapp & Associates","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","William Enoch Andrews, Injury Lawyer PC","Lowe Law Group","The Law Office of Brett G. Pearce","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Flickinger Sutterfield & Boulton","Robert J. DeBry & Associates",
"20+","40.548912209770435","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.548912209770435,40.548912209770435","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Utah Personal Injury Lawyers","Craig Swapp & Associates","Kramer Law Group","William R. Rawlings & Associates","Larson Law","Robert J. DeBry & Associates","Valiente Mott Injury Attorneys","Symkoviak Law Firm","Craig Swapp & Associates","Good Guys Legal - Christensen & Hymas","William Enoch Andrews, Injury Lawyer PC","Handy & Handy Attorneys At Law","The Law Office of Brett G. Pearce","Lowe Law Group","Symkoviak Law Firm","Ipson Law Firm","Robert J. DeBry & Associates",
"20+","40.56956499147536","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.56956499147536,40.56956499147536","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Utah Personal Injury Lawyers","Brian Hills Law","Kramer Law Group","Craig Swapp & Associates","Robert J. DeBry & Associates","William R. Rawlings & Associates","Symkoviak Law Firm","Larson Law","Craig Swapp & Associates","Valiente Mott Injury Attorneys","William Enoch Andrews, Injury Lawyer PC","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Handy & Handy Attorneys At Law","The Law Office of Brett G. Pearce","Symkoviak Law Firm","Ipson Law Firm",
"20+","40.59021777318029","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.59021777318029,40.59021777318029","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Utah Personal Injury Lawyers","Brian Hills Law","Symkoviak Law Firm","Kramer Law Group","Craig Swapp & Associates","Robert J. DeBry & Associates","Craig Swapp & Associates","William R. Rawlings & Associates","Larson Law","William Enoch Andrews, Injury Lawyer PC","Lowe Law Group","Handy & Handy Attorneys At Law","Valiente Mott Injury Attorneys","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Ipson Law Firm","The Law Office of Brett G. Pearce",
"20+","40.61087055488522","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.61087055488522,40.61087055488522","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Brian Hills Law","Utah Personal Injury Lawyers","Robert J. DeBry & Associates","Kramer Law Group","Craig Swapp & Associates","Craig Swapp & Associates","William R. Rawlings & Associates","Larson Law","William Enoch Andrews, Injury Lawyer PC","Lowe Law Group","Handy & Handy Attorneys At Law","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","Valiente Mott Injury Attorneys","Ipson Law Firm","The Law Office of Brett G. Pearce",
"20+","40.63152333659014","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.63152333659014,40.63152333659014","Fielding Law - Accident Attorneys","Symkoviak Law Firm","The Advocates","Siegfried & Jensen","Brian Hills Law","Utah Personal Injury Lawyers","Craig Swapp & Associates","Robert J. DeBry & Associates","Kramer Law Group","Craig Swapp & Associates","William Enoch Andrews, Injury Lawyer PC","William R. Rawlings & Associates","Larson Law","Lowe Law Group","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Valiente Mott Injury Attorneys",
"20+","40.652176118295074","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.652176118295074,40.652176118295074","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Brian Hills Law","Craig Swapp & Associates","Utah Personal Injury Lawyers","Robert J. DeBry & Associates","William Enoch Andrews, Injury Lawyer PC","Kramer Law Group","Craig Swapp & Associates","William R. Rawlings & Associates","Lowe Law Group","Larson Law","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","801-INJURED",
"20+","40.6728289","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.6728289,40.6728289","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Craig Swapp & Associates","Brian Hills Law","Robert J. DeBry & Associates","Kramer Law Group","Craig Swapp & Associates","Handy & Handy Attorneys At Law","William R. Rawlings & Associates","Lowe Law Group","William Enoch Andrews, Injury Lawyer PC","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Larson Law","TJ Auto Law","Eisenberg, Cutt, Kendell & Olson","Robert J. DeBry & Associates","Utah Personal Injury Lawyers",
"20+","40.693481681704924","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.693481681704924,40.693481681704924","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","The Advocates","Craig Swapp & Associates","Brian Hills Law","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Utah Personal Injury Lawyers","Kramer Law Group","Craig Swapp & Associates","Lowe Law Group","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","William R. Rawlings & Associates","Larson Law","801-INJURED","Ipson Law Firm","Valiente Mott Injury Attorneys",
"20+","40.714134463409856","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.714134463409856,40.714134463409856","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","Brian Hills Law","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Utah Personal Injury Lawyers","Lowe Law Group","Craig Swapp & Associates","Kramer Law Group","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","William R. Rawlings & Associates","801-INJURED","Ipson Law Firm","Larson Law","Law Office of Ralph C Petty Injury Lawyers",
"20+","40.73478724511478","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.73478724511478,40.73478724511478","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Brian Hills Law","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Utah Personal Injury Lawyers","Lowe Law Group","Craig Swapp & Associates","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Kramer Law Group","801-INJURED","William R. Rawlings & Associates","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Law Office of Ralph C Petty Injury Lawyers",
"20+","40.755440026819706","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.755440026819706,40.755440026819706","Fielding Law - Accident Attorneys","Symkoviak Law Firm","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Brian Hills Law","Handy & Handy Attorneys At Law","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Utah Personal Injury Lawyers","Symkoviak Law Firm","Craig Swapp & Associates","801-INJURED","Kramer Law Group","Good Guys Legal - Christensen & Hymas","Ipson Law Firm","William R. Rawlings & Associates","Law Office of Ralph C Petty Injury Lawyers",
"20+","40.77609280852464","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.77609280852464,40.77609280852464","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Symkoviak Law Firm","William Enoch Andrews, Injury Lawyer PC","Siegfried & Jensen","The Advocates","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Brian Hills Law","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","801-INJURED","Utah Personal Injury Lawyers","Good Guys Legal - Christensen & Hymas","Craig Swapp & Associates","Symkoviak Law Firm","Kramer Law Group","Ipson Law Firm","William R. Rawlings & Associates",
"20+","40.79674559022956","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.79674559022956,40.79674559022956","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","Symkoviak Law Firm","Siegfried & Jensen","The Advocates","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Brian Hills Law","Good Guys Legal - Christensen & Hymas","801-INJURED","Good Guys Legal - Christensen & Hymas","Lowe Law Group","Symkoviak Law Firm","Symkoviak Law Firm","Utah Personal Injury Lawyers","Craig Swapp & Associates","Ipson Law Firm","Peter W. Summerill","Eisenberg, Cutt, Kendell & Olson",
"20+","40.81739837193449","-112.0726878724953","https://www.google.com/maps/search/?api=1&query=40.81739837193449,40.81739837193449","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Brian Hills Law","Good Guys Legal - Christensen & Hymas","801-INJURED","Symkoviak Law Firm","Lowe Law Group","Utah Personal Injury Lawyers","Craig Swapp & Associates","Feller & Wendt, LLC","G & R Injury Lawyers","Eisenberg, Cutt, Kendell & Olson",
"20+","40.52825942806551","-112.04545739071024","https://www.google.com/maps/search/?api=1&query=40.52825942806551,40.52825942806551","The Advocates","Utah Personal Injury Lawyers","Fielding Law - Accident Attorneys","Siegfried & Jensen","Craig Swapp & Associates","William R. Rawlings & Associates","Larson Law","Valiente Mott Injury Attorneys","Kramer Law Group","Robert J. DeBry & Associates","Craig Swapp & Associates","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","The Law Office of Brett G. Pearce","William Enoch Andrews, Injury Lawyer PC","Lowe Law Group","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Robert J. DeBry & Associates","TJ Auto Law",
"20+","40.548912209770435","-112.04545739071024","https://www.google.com/maps/search/?api=1&query=40.548912209770435,40.548912209770435","Fielding Law - Accident Attorneys","The Advocates","Utah Personal Injury Lawyers","Kramer Law Group","Siegfried & Jensen","Craig Swapp & Associates","William R. Rawlings & Associates","Larson Law","Valiente Mott Injury Attorneys","Robert J. DeBry & Associates","Craig Swapp & Associates","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","William Enoch Andrews, Injury Lawyer PC","Lowe Law Group","The Law Office of Brett G. Pearce","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Robert J. DeBry & Associates","Ipson Law Firm",
