"Business:","Martinez & Associates PLLC,2828 Goliad Rd #125, San Antonio, TX 78223"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-15 03:08:09
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","12.64"
"ATRP:","19.44"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","29.210911528065505","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.210911528065505,29.210911528065505","The Herrera Law Firm","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","Herrman & Herrman, P.L.L.C.","Hill Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Crosley Law Firm","The Carlson Law Firm","Barrus Injury Lawyers","Rich & Jones Car Wreck Lawyers | Corinth","Law Offices of Pat Maloney, P.C.","Carabin & Shaw P.C., Attorneys At Law","Brylak Law","Wyatt Law Firm, PLLC.","Felix Gonzalez Law Firm, P.C.","Patterson Law Group","Joe A. Gamez Law Firm, PLC",
"20+","29.231564309770434","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.231564309770434,29.231564309770434","Carabin & Shaw P.C.","The Herrera Law Firm","The Aguirre Law Firm, PLLC","Herrman & Herrman, P.L.L.C.","Hill Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","The Carlson Law Firm","Crosley Law Firm","Barrus Injury Lawyers","Jim Adler & Associates","Law Offices of Ronald A. Ramos, P.C.","Brylak Law","Wyatt Law Firm, PLLC.","Felix Gonzalez Law Firm, P.C.","Joe A. Gamez Law Firm, PLC","Law Offices of Maloney & Campolo, LLP","Eric Ramos Law, PLLC","Alford & Clark Injury Attorneys","Wayne Wright",
"20+","29.252217091475362","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.252217091475362,29.252217091475362","The Herrera Law Firm","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","Herrman & Herrman, P.L.L.C.","The Carlson Law Firm","Hill Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Crosley Law Firm","Rich & Jones Car Wreck Lawyers | Corinth","Barrus Injury Lawyers","Law Offices of Pat Maloney, P.C.","Felix Gonzalez Law Firm, P.C.","Brylak Law","Wyatt Law Firm, PLLC.","Attorney Jorge Herrera","Joe A. Gamez Law Firm, PLC","Patterson Law Group",
"20+","29.272869873180287","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.272869873180287,29.272869873180287","The Herrera Law Firm","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","The Carlson Law Firm","Herrman & Herrman, P.L.L.C.","Hill Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Crosley Law Firm","Barrus Injury Lawyers","Law Offices of Pat Maloney, P.C.","Rich & Jones Car Wreck Lawyers | Corinth","Felix Gonzalez Law Firm, P.C.","Attorney Jorge Herrera","Joe A. Gamez Law Firm, PLC","Wyatt Law Firm, PLLC.","Brylak Law","Patterson Law Group",
"20+","29.293522654885216","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.293522654885216,29.293522654885216","The Herrera Law Firm","Carabin & Shaw P.C.","The Carlson Law Firm","The Aguirre Law Firm, PLLC","Herrman & Herrman, P.L.L.C.","Hill Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Crosley Law Firm","Law Offices of Pat Maloney, P.C.","Barrus Injury Lawyers","Rich & Jones Car Wreck Lawyers | Corinth","Felix Gonzalez Law Firm, P.C.","Attorney Jorge Herrera","Joe A. Gamez Law Firm, PLC","Caquias Law Group, PLLC","Law Offices of Maloney & Campolo, LLP","Wayne Wright",
"20+","29.314175436590144","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.314175436590144,29.314175436590144","The Herrera Law Firm","Carabin & Shaw P.C.","The Carlson Law Firm","The Aguirre Law Firm, PLLC","Herrman & Herrman, P.L.L.C.","The Law Offices of George Salinas, PLLC","Hill Law Firm","Begum Law Group Injury Lawyers","Law Offices of Pat Maloney, P.C.","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Crosley Law Firm","Barrus Injury Lawyers","Attorney Jorge Herrera","Felix Gonzalez Law Firm, P.C.","Caquias Law Group, PLLC","Law Offices of Maloney & Campolo, LLP","Rich & Jones Car Wreck Lawyers | Corinth","Joe A. Gamez Law Firm, PLC","Wayne Wright",
"20+","29.33482821829507","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.33482821829507,29.33482821829507","Carabin & Shaw P.C.","The Herrera Law Firm","The Aguirre Law Firm, PLLC","The Carlson Law Firm","Herrman & Herrman, P.L.L.C.","The Law Offices of George Salinas, PLLC","Hill Law Firm","Begum Law Group Injury Lawyers","Jim Adler & Associates","Felix Gonzalez Law Firm, P.C.","Crosley Law Firm","Law Offices of Ronald A. Ramos, P.C.","Barrus Injury Lawyers","Law Offices of Maloney & Campolo, LLP","Joe A. Gamez Law Firm, PLC","Wyatt Law Firm, PLLC.","Brylak Law","Trevino Law Office","Wayne Wright","Eric Ramos Law, PLLC",
"20+","29.355480999999997","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.355480999999997,29.355480999999997","The Herrera Law Firm","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","Herrman & Herrman, P.L.L.C.","The Law Offices of George Salinas, PLLC","Hill Law Firm","The Carlson Law Firm","Begum Law Group Injury Lawyers","Law Offices of Pat Maloney, P.C.","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Attorney Jorge Herrera","Felix Gonzalez Law Firm, P.C.","Caquias Law Group, PLLC","Crosley Law Firm","Law Offices of Maloney & Campolo, LLP","Barrus Injury Lawyers","Joe A. Gamez Law Firm, PLC","Wayne Wright","Rodriguez Trial Law",
"20+","29.376133781704926","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.376133781704926,29.376133781704926","The Herrera Law Firm","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Hill Law Firm","Herrman & Herrman, P.L.L.C.","The Carlson Law Firm","Law Offices of Pat Maloney, P.C.","Jim Adler & Associates","Law Offices of Ronald A. Ramos, P.C.","Felix Gonzalez Law Firm, P.C.","Trevino Law Office","Caquias Law Group, PLLC","Law Offices of Maloney & Campolo, LLP","Rodriguez Trial Law","Joe A. Gamez Law Firm, PLC","Crosley Law Firm","Wayne Wright","Chris Mayo Law Firm",
"20+","29.39678656340985","-98.5969267194637","https://www.google.com/maps/search/?api=1&query=29.39678656340985,29.39678656340985","The Herrera Law Firm","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Hill Law Firm","Herrman & Herrman, P.L.L.C.","Trevino Law Office","Jim Adler & Associates","Joe A. Gamez Law Firm, PLC","The Carlson Law Firm","Crosley Law Firm","Felix Gonzalez Law Firm, P.C.","Law Offices of Ronald A. Ramos, P.C.","Barrus Injury Lawyers","Wayne Wright","Law Offices of Maloney & Campolo, LLP","Wyatt Law Firm, PLLC.","Villarreal and Begum Law Firm","Brylak Law",
