"Business:","Villarreal and Begum Law Firm,5826 W I-10 Suite # 101, San Antonio, TX 78201"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-15 02:57:04
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","16.17"
"ATRP:","20.12"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","29.339297528065508","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.339297528065508,29.339297528065508","The Herrera Law Firm","Carabin & Shaw P.C.","Herrman & Herrman, P.L.L.C.","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","The Aguirre Law Firm, PLLC","Hill Law Firm","Carabin & Shaw P.C., Attorneys At Law","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Barrus Injury Lawyers","Brylak Law","Crosley Law Firm","Law Offices of Pat Maloney, P.C.","Wayne Wright","Joe A. Gamez Law Firm, PLC","The Carlson Law Firm","Felix Gonzalez Law Firm, P.C.","Patterson Law Group","Hughes Mathews Legal Group",
"20+","29.359950309770436","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.359950309770436,29.359950309770436","The Herrera Law Firm","Herrman & Herrman, P.L.L.C.","Carabin & Shaw P.C.","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Hill Law Firm","The Aguirre Law Firm, PLLC","Law Offices of Ronald A. Ramos, P.C.","Carabin & Shaw P.C., Attorneys At Law","Jim Adler & Associates","Barrus Injury Lawyers","Brylak Law","Crosley Law Firm","Wayne Wright","Joe A. Gamez Law Firm, PLC","Law Offices of Pat Maloney, P.C.","Hughes Mathews Legal Group","Patterson Law Group","Felix Gonzalez Law Firm, P.C.","Attorney Jorge Herrera",
"20+","29.380603091475365","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.380603091475365,29.380603091475365","The Herrera Law Firm","Herrman & Herrman, P.L.L.C.","The Law Offices of George Salinas, PLLC","Carabin & Shaw P.C.","Begum Law Group Injury Lawyers","Hill Law Firm","Law Offices of Ronald A. Ramos, P.C.","The Aguirre Law Firm, PLLC","Jim Adler & Associates","Carabin & Shaw P.C., Attorneys At Law","Barrus Injury Lawyers","Brylak Law","Wayne Wright","Crosley Law Firm","Joe A. Gamez Law Firm, PLC","Law Offices of Pat Maloney, P.C.","Hughes Mathews Legal Group","Reyna Law Firm","Patterson Law Group","Davis Law Firm",
"20+","29.40125587318029","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.40125587318029,29.40125587318029","The Herrera Law Firm","Herrman & Herrman, P.L.L.C.","The Law Offices of George Salinas, PLLC","Carabin & Shaw P.C.","Begum Law Group Injury Lawyers","Hill Law Firm","Law Offices of Ronald A. Ramos, P.C.","The Aguirre Law Firm, PLLC","Jim Adler & Associates","Barrus Injury Lawyers","Carabin & Shaw P.C., Attorneys At Law","Brylak Law","Wayne Wright","Crosley Law Firm","Joe A. Gamez Law Firm, PLC","Hughes Mathews Legal Group","Reyna Law Firm","Patterson Law Group","Law Offices of Pat Maloney, P.C.","Davis Law Firm",
"20+","29.42190865488522","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.42190865488522,29.42190865488522","Herrman & Herrman, P.L.L.C.","The Herrera Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Carabin & Shaw P.C.","Hill Law Firm","Barrus Injury Lawyers","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","The Aguirre Law Firm, PLLC","Brylak Law","Carabin & Shaw P.C., Attorneys At Law","Wayne Wright","Reyna Law Firm","Hughes Mathews Legal Group","Crosley Law Firm","Joe A. Gamez Law Firm, PLC","Patterson Law Group","Davis Law Firm","Law Offices of Pat Maloney, P.C.",
"20+","29.442561436590147","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.442561436590147,29.442561436590147","Herrman & Herrman, P.L.L.C.","The Herrera Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Carabin & Shaw P.C.","Barrus Injury Lawyers","Hill Law Firm","Brylak Law","Jim Adler & Associates","Law Offices of Ronald A. Ramos, P.C.","The Aguirre Law Firm, PLLC","Carabin & Shaw P.C., Attorneys At Law","Reyna Law Firm","Hughes Mathews Legal Group","Wayne Wright","Crosley Law Firm","Davis Law Firm","Patterson Law Group","Joe A. Gamez Law Firm, PLC","Law Offices of Pat Maloney, P.C.",
"20+","29.46321421829507","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.46321421829507,29.46321421829507","Herrman & Herrman, P.L.L.C.","The Herrera Law Firm","The Law Offices of George Salinas, PLLC","Barrus Injury Lawyers","Brylak Law","Begum Law Group Injury Lawyers","Carabin & Shaw P.C.","Hill Law Firm","Jim Adler & Associates","Law Offices of Ronald A. Ramos, P.C.","The Aguirre Law Firm, PLLC","Hughes Mathews Legal Group","Reyna Law Firm","Carabin & Shaw P.C., Attorneys At Law","Wayne Wright","Crosley Law Firm","Davis Law Firm","Patterson Law Group","Law Offices of Pat Maloney, P.C.","Wyatt Law Firm, PLLC.",
"20+","29.483867","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.483867,29.483867","Herrman & Herrman, P.L.L.C.","The Herrera Law Firm","Brylak Law","The Law Offices of George Salinas, PLLC","Barrus Injury Lawyers","Begum Law Group Injury Lawyers","Carabin & Shaw P.C.","Hill Law Firm","Jim Adler & Associates","Law Offices of Ronald A. Ramos, P.C.","The Aguirre Law Firm, PLLC","Hughes Mathews Legal Group","Reyna Law Firm","Wayne Wright","Crosley Law Firm","Davis Law Firm","Carabin & Shaw P.C., Attorneys At Law","Patterson Law Group","Grace Firm","Joe A. Gamez Law Firm, PLC",
"20+","29.50451978170493","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.50451978170493,29.50451978170493","Herrman & Herrman, P.L.L.C.","Brylak Law","The Herrera Law Firm","Barrus Injury Lawyers","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Hill Law Firm","Carabin & Shaw P.C.","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","The Aguirre Law Firm, PLLC","Hughes Mathews Legal Group","Reyna Law Firm","Wayne Wright","Crosley Law Firm","Davis Law Firm","Patterson Law Group","Grace Firm","Ryan Orsatti Law","Carabin & Shaw P.C., Attorneys At Law",
"20+","29.525172563409853","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.525172563409853,29.525172563409853","Brylak Law","Herrman & Herrman, P.L.L.C.","Barrus Injury Lawyers","The Herrera Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Jim Adler & Associates","Hill Law Firm","Law Offices of Ronald A. Ramos, P.C.","Carabin & Shaw P.C.","Hughes Mathews Legal Group","The Aguirre Law Firm, PLLC","Reyna Law Firm","Wayne Wright","Davis Law Firm","Crosley Law Firm","Grace Firm","Patterson Law Group","Ryan Orsatti Law","Law Tigers Motorcycle Injury Lawyers - San Antonio",
"20+","29.545825345114782","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.545825345114782,29.545825345114782","Brylak Law","Herrman & Herrman, P.L.L.C.","Barrus Injury Lawyers","The Herrera Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Hill Law Firm","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Carabin & Shaw P.C.","Hughes Mathews Legal Group","The Aguirre Law Firm, PLLC","Reyna Law Firm","Wayne Wright","Davis Law Firm","Crosley Law Firm","Patterson Law Group","Ryan Orsatti Law","Grace Firm","Wyatt Law Firm, PLLC.",
"20+","29.56647812681971","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.56647812681971,29.56647812681971","Brylak Law","Herrman & Herrman, P.L.L.C.","Barrus Injury Lawyers","The Herrera Law Firm","The Law Offices of George Salinas, PLLC","Law Offices of Ronald A. Ramos, P.C.","Begum Law Group Injury Lawyers","Hill Law Firm","Jim Adler & Associates","Hughes Mathews Legal Group","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","Reyna Law Firm","Crosley Law Firm","Ryan Orsatti Law","Davis Law Firm","Grace Firm","Wayne Wright","Carabin & Shaw P.C., Attorneys At Law","Patterson Law Group",
"20+","29.587130908524635","-98.69880674522642","https://www.google.com/maps/search/?api=1&query=29.587130908524635,29.587130908524635","Brylak Law","Herrman & Herrman, P.L.L.C.","Barrus Injury Lawyers","The Herrera Law Firm","The Law Offices of George Salinas, PLLC","Begum Law Group Injury Lawyers","Law Offices of Ronald A. Ramos, P.C.","Jim Adler & Associates","Hill Law Firm","Hughes Mathews Legal Group","Carabin & Shaw P.C.","The Aguirre Law Firm, PLLC","Reyna Law Firm","Carabin & Shaw P.C., Attorneys At Law","Davis Law Firm","Crosley Law Firm","Wayne Wright","Ryan Orsatti Law","Patterson Law Group","Grace Firm",
