"Business:","Ozols Law Firm,8880 Rio San Diego Dr #800, San Diego, CA 92108"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 22:58:50
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","16.19"
"ATRP:","20.44"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","32.63211832806551","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.63211832806551,32.63211832806551","i Accident Lawyer","King Aminpour Car Accident Lawyer","San Diego Personal Injury Lawyer | Mova Law Group","Hamparyan Personal Injury Lawyers San Diego, APC","Jurewitz Law Group","Harris Personal Injury Lawyers, Inc.","Ray Padilla Law, APC - Car Accident Lawyers","Levinson Law Group","AA Accident Attorneys","i Accident Lawyer","Pacific Attorney Group - Car Accident Lawyers","Jeffery Estes & Associates Injury Lawyers","The Personal Injury Attorney Law Firm","San Diego Car Accident Lawyer Supreme","Injury Trial Lawyers, APC","The Law Offices of Bruce S Meth Injury Lawyer","The Barnes Firm Injury Attorneys (San Diego)","Mission Personal Injury Lawyers","The May Firm","Williams Auto Accident Attorneys",
"20+","32.652771109770434","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.652771109770434,32.652771109770434","i Accident Lawyer","San Diego Personal Injury Lawyer | Mova Law Group","King Aminpour Car Accident Lawyer","Jurewitz Law Group","Harris Personal Injury Lawyers, Inc.","Hamparyan Personal Injury Lawyers San Diego, APC","Ray Padilla Law, APC - Car Accident Lawyers","Levinson Law Group","AA Accident Attorneys","Pacific Attorney Group - Car Accident Lawyers","San Diego Car Accident Lawyer Supreme","i Accident Lawyer","The Personal Injury Attorney Law Firm","Jeffery Estes & Associates Injury Lawyers","Injury Trial Lawyers, APC","The Barnes Firm Injury Attorneys (San Diego)","Mission Personal Injury Lawyers","The Law Offices of Bruce S Meth Injury Lawyer","The May Firm","Car Accident Lawyer Hanecak Law Inc",
"20+","32.67342389147536","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.67342389147536,32.67342389147536","San Diego Personal Injury Lawyer | Mova Law Group","i Accident Lawyer","King Aminpour Car Accident Lawyer","Jurewitz Law Group","Hamparyan Personal Injury Lawyers San Diego, APC","Ray Padilla Law, APC - Car Accident Lawyers","Levinson Law Group","Harris Personal Injury Lawyers, Inc.","Injury Trial Lawyers, APC","Mission Personal Injury Lawyers","i Accident Lawyer","San Diego Personal Injury Attorneys","Nakase Accident Lawyers & Employment Attorneys","The Barnes Firm Injury Attorneys (San Diego)","Batta Fulkerson Law Group","HHJ Trial Attorneys: Accident & Personal Injury Lawyers","Williams Auto Accident Attorneys","AK Injury Law Firm | Auto Accident Lawyer San Diego","Pines Salomon Injury Lawyers, APC","Gomez Trial Attorneys, Accident & Injury Lawyers",
"20+","32.69407667318029","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.69407667318029,32.69407667318029","San Diego Personal Injury Lawyer | Mova Law Group","i Accident Lawyer","King Aminpour Car Accident Lawyer","Jurewitz Law Group","Hamparyan Personal Injury Lawyers San Diego, APC","Ray Padilla Law, APC - Car Accident Lawyers","Levinson Law Group","i Accident Lawyer","Harris Personal Injury Lawyers, Inc.","Mission Personal Injury Lawyers","Injury Trial Lawyers, APC","San Diego Personal Injury Attorneys","Nakase Accident Lawyers & Employment Attorneys","Pines Salomon Injury Lawyers, APC","The Barnes Firm Injury Attorneys (San Diego)","HHJ Trial Attorneys: Accident & Personal Injury Lawyers","Batta Fulkerson Law Group","AK Injury Law Firm | Auto Accident Lawyer San Diego","Williams Auto Accident Attorneys","Gomez Trial Attorneys, Accident & Injury Lawyers",
"20+","32.714729454885216","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.714729454885216,32.714729454885216","San Diego Personal Injury Lawyer | Mova Law Group","i Accident Lawyer","King Aminpour Car Accident Lawyer","Ray Padilla Law, APC - Car Accident Lawyers","Jurewitz Law Group","Harris Personal Injury Lawyers, Inc.","Hamparyan Personal Injury Lawyers San Diego, APC","San Diego Car Accident Lawyer Supreme","Levinson Law Group","AA Accident Attorneys","Pacific Attorney Group - Car Accident Lawyers","The Personal Injury Attorney Law Firm","Car Accident Lawyer Hanecak Law Inc","i Accident Lawyer","Jeffery Estes & Associates Injury Lawyers","San Diego Personal Injury Attorneys","Mission Personal Injury Lawyers","AK Injury Law Firm | Auto Accident Lawyer San Diego","Injury Trial Lawyers, APC","The Barnes Firm Injury Attorneys (San Diego)",
"20+","32.73538223659014","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.73538223659014,32.73538223659014","San Diego Personal Injury Lawyer | Mova Law Group","i Accident Lawyer","King Aminpour Car Accident Lawyer","Ray Padilla Law, APC - Car Accident Lawyers","Jurewitz Law Group","Harris Personal Injury Lawyers, Inc.","Hamparyan Personal Injury Lawyers San Diego, APC","San Diego Car Accident Lawyer Supreme","Levinson Law Group","AA Accident Attorneys","Pacific Attorney Group - Car Accident Lawyers","The Personal Injury Attorney Law Firm","Car Accident Lawyer Hanecak Law Inc","San Diego Personal Injury Attorneys","HHJ Trial Attorneys: Accident & Personal Injury Lawyers","AK Injury Law Firm | Auto Accident Lawyer San Diego","i Accident Lawyer","Jeffery Estes & Associates Injury Lawyers","Pines Salomon Injury Lawyers, APC","Mission Personal Injury Lawyers",
"20+","32.75603501829507","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.75603501829507,32.75603501829507","San Diego Personal Injury Lawyer | Mova Law Group","i Accident Lawyer","King Aminpour Car Accident Lawyer","Ray Padilla Law, APC - Car Accident Lawyers","Jurewitz Law Group","Harris Personal Injury Lawyers, Inc.","Hamparyan Personal Injury Lawyers San Diego, APC","San Diego Car Accident Lawyer Supreme","Levinson Law Group","HHJ Trial Attorneys: Accident & Personal Injury Lawyers","AA Accident Attorneys","Car Accident Lawyer Hanecak Law Inc","San Diego Personal Injury Attorneys","The Personal Injury Attorney Law Firm","AK Injury Law Firm | Auto Accident Lawyer San Diego","Pacific Attorney Group - Car Accident Lawyers","Pines Salomon Injury Lawyers, APC","San Diego Injury Law Center","Mission Personal Injury Lawyers","Jeffery Estes & Associates Injury Lawyers",
"20+","32.7766878","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.7766878,32.7766878","San Diego Personal Injury Lawyer | Mova Law Group","HHJ Trial Attorneys: Accident & Personal Injury Lawyers","i Accident Lawyer","King Aminpour Car Accident Lawyer","Jurewitz Law Group","San Diego Personal Injury Attorneys","Hamparyan Personal Injury Lawyers San Diego, APC","Ray Padilla Law, APC - Car Accident Lawyers","Pines Salomon Injury Lawyers, APC","AK Injury Law Firm | Auto Accident Lawyer San Diego","Levinson Law Group","Mission Personal Injury Lawyers","Harris Personal Injury Lawyers, Inc.","Injury Trial Lawyers, APC","Nakase Accident Lawyers & Employment Attorneys","The Barnes Firm Injury Attorneys (San Diego)","Batta Fulkerson Law Group","i Accident Lawyer","Car Accident Lawyer Hanecak Law Inc","Gomez Trial Attorneys, Accident & Injury Lawyers",
"20+","32.79734058170492","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.79734058170492,32.79734058170492","San Diego Personal Injury Lawyer | Mova Law Group","HHJ Trial Attorneys: Accident & Personal Injury Lawyers","i Accident Lawyer","King Aminpour Car Accident Lawyer","San Diego Personal Injury Attorneys","Car Accident Lawyer Hanecak Law Inc","AK Injury Law Firm | Auto Accident Lawyer San Diego","Pines Salomon Injury Lawyers, APC","Ray Padilla Law, APC - Car Accident Lawyers","Jurewitz Law Group","Harris Personal Injury Lawyers, Inc.","Hamparyan Personal Injury Lawyers San Diego, APC","San Diego Car Accident Lawyer Supreme","AA Accident Attorneys","The Personal Injury Attorney Law Firm","Levinson Law Group","Pacific Attorney Group - Car Accident Lawyers","San Diego Injury Law Center","Mission Personal Injury Lawyers","Jeffery Estes & Associates Injury Lawyers",
"20+","32.817993363409855","-117.31080622974191","https://www.google.com/maps/search/?api=1&query=32.817993363409855,32.817993363409855","HHJ Trial Attorneys: Accident & Personal Injury Lawyers","San Diego Personal Injury Attorneys","i Accident Lawyer","King Aminpour Car Accident Lawyer","San Diego Personal Injury Lawyer | Mova Law Group","Pines Salomon Injury Lawyers, APC","Jurewitz Law Group","Hamparyan Personal Injury Lawyers San Diego, APC","AK Injury Law Firm | Auto Accident Lawyer San Diego","Ray Padilla Law, APC - Car Accident Lawyers","Mission Personal Injury Lawyers","Nakase Accident Lawyers & Employment Attorneys","Batta Fulkerson Law Group","Injury Trial Lawyers, APC","Levinson Law Group","Harris Personal Injury Lawyers, Inc.","Law Offices of Mark C. Blane, APC","Car Accident Lawyer Hanecak Law Inc","The Sargent Firm Injury Lawyers","The Barnes Firm Injury Attorneys (San Diego)",
