"Business:","Coluccio Law,2025 1st Ave #1130, Seattle, WA 98121"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 07:35:56
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","14.95"
"ATRP:","18.96"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","47.49353652806551","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.49353652806551,47.49353652806551","Anthony Otto Attorney At Law","GLP Personal Injury Attorneys","Becker Franklin Rovang, PLLC","Davis Law Group - Injury Lawyers","Altman Law Offices","Fielding Law Group","Dubin Law Group - Personal Injury Attorneys","Khan Law Firm","Seattle Car Accident Law Firm","Bernard Law Group","Washington Injury Law","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Wattel & York Injury & Accident Attorneys","Premier Law Group, PLLC","Hardwick & Pendergast, P.S.","Kornfeld Law","Park Chenaur & Associates, Inc., P.S.",
"20+","47.51418930977044","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.51418930977044,47.51418930977044","Anthony Otto Attorney At Law","GLP Personal Injury Attorneys","Davis Law Group - Injury Lawyers","Altman Law Offices","Becker Franklin Rovang, PLLC","Fielding Law Group","Dubin Law Group - Personal Injury Attorneys","Khan Law Firm","Seattle Car Accident Law Firm","Bernard Law Group","Washington Injury Law","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Hardwick & Pendergast, P.S.","Wattel & York Injury & Accident Attorneys","Kornfeld Law","Russell & Hill, PLLC - Seattle Personal Injury Attorney",
"20+","47.53484209147536","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.53484209147536,47.53484209147536","Altman Law Offices","Anthony Otto Attorney At Law","GLP Personal Injury Attorneys","Davis Law Group - Injury Lawyers","Becker Franklin Rovang, PLLC","Fielding Law Group","Dubin Law Group - Personal Injury Attorneys","Khan Law Firm","Bernard Law Group","Seattle Car Accident Law Firm","Washington Injury Law","Caffee Accident & Injury Lawyers","Advocates Law","Witt Law Group PS","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Wattel & York Injury & Accident Attorneys","Hardwick & Pendergast, P.S.",
"20+","47.555494873180294","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.555494873180294,47.555494873180294","Altman Law Offices","Davis Law Group - Injury Lawyers","GLP Personal Injury Attorneys","Becker Franklin Rovang, PLLC","Anthony Otto Attorney At Law","Dubin Law Group - Personal Injury Attorneys","Fielding Law Group","Seattle Car Accident Law Firm","Khan Law Firm","Bernard Law Group","Washington Injury Law","Caffee Accident & Injury Lawyers","Advocates Law","Witt Law Group PS","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Hardwick & Pendergast, P.S.","Kornfeld Law",
"20+","47.57614765488522","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.57614765488522,47.57614765488522","Altman Law Offices","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","GLP Personal Injury Attorneys","Seattle Car Accident Law Firm","Fielding Law Group","Washington Injury Law","Bernard Law Group","Khan Law Firm","Becker Franklin Rovang, PLLC","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Anthony Otto Attorney At Law","Boohoff Law, P.A.","Witt Law Group PS","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Premier Law Group, PLLC","Dean Standish Perkins & Associates","Kornfeld Law",
"20+","47.596800436590144","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.596800436590144,47.596800436590144","Altman Law Offices","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Washington Injury Law","Bernard Law Group","Fielding Law Group","Khan Law Firm","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","GLP Personal Injury Attorneys","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Witt Law Group PS","Becker Franklin Rovang, PLLC","Premier Law Group, PLLC","Anthony Otto Attorney At Law","Dean Standish Perkins & Associates","Kornfeld Law",
"20+","47.617453218295076","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.617453218295076,47.617453218295076","Davis Law Group - Injury Lawyers","Altman Law Offices","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Washington Injury Law","Bernard Law Group","Khan Law Firm","Fielding Law Group","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Premier Law Group, PLLC","GLP Personal Injury Attorneys","Dean Standish Perkins & Associates","Becker Franklin Rovang, PLLC","Altman Law Offices","Dubin Law Group - Personal Injury Attorneys","Emerald Law Group",
"17","47.638106","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.638106,47.638106","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Altman Law Offices","Washington Injury Law","Bernard Law Group","Khan Law Firm","Seattle Injury Law","Advocates Law","Seattle Car Accident Law Firm","Boohoff Law, P.A.","Fielding Law Group","Premier Law Group, PLLC","Dubin Law Group - Personal Injury Attorneys","Dean Standish Perkins & Associates","Certa Law Group, PS","Cherin Law Firm, PLLC","Coluccio Law","Caffee Accident & Injury Lawyers","Becker Franklin Rovang, PLLC","GLP Personal Injury Attorneys",
"15","47.658758781704925","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.658758781704925,47.658758781704925","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Washington Injury Law","Altman Law Offices","Bernard Law Group","Seattle Injury Law","Advocates Law","Khan Law Firm","Seattle Car Accident Law Firm","Boohoff Law, P.A.","Premier Law Group, PLLC","Fielding Law Group","Dubin Law Group - Personal Injury Attorneys","Certa Law Group, PS","Coluccio Law","Dean Standish Perkins & Associates","Caffee Accident & Injury Lawyers","Premier Law Group, PLLC","Cherin Law Firm, PLLC","GLP Personal Injury Attorneys",
"20+","47.67941156340986","-122.56994029491023","https://www.google.com/maps/search/?api=1&query=47.67941156340986,47.67941156340986","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Altman Law Offices","Washington Injury Law","Bernard Law Group","Altman Law Offices","Caffee Accident & Injury Lawyers","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Seattle Injury Law","Khan Law Firm","Advocates Law","Fielding Law Group","Boohoff Law, P.A.","Premier Law Group, PLLC","Dubin Law Group - Personal Injury Attorneys","Certa Law Group, PS","Kornfeld Law","Davis Law Group, P.S. - Injury Lawyers","Emerald Law Group",
