"Business:","David Mordekhov,2200 6th Ave STE 600, Seattle, WA 98121"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 07:57:54
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","19.00"
"ATRP:","20.99"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","47.47189872806551","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.47189872806551,47.47189872806551","Anthony Otto Attorney At Law","Davis Law Group - Injury Lawyers","Fielding Law Group","Altman Law Offices","GLP Personal Injury Attorneys","Becker Franklin Rovang, PLLC","Khan Law Firm","Dubin Law Group - Personal Injury Attorneys","Wattel & York Injury & Accident Attorneys","Bernard Law Group","Seattle Car Accident Law Firm","Washington Injury Law","Advocates Law","Caffee Accident & Injury Lawyers","Park Chenaur & Associates, Inc., P.S.","Hardwick & Pendergast, P.S.","Premier Law Group, PLLC","Greaney Scudder Law Firm","Seattle Injury Law","Boohoff Law, P.A.",
"20+","47.492551509770436","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.492551509770436,47.492551509770436","Davis Law Group - Injury Lawyers","Altman Law Offices","Becker Franklin Rovang, PLLC","Dubin Law Group - Personal Injury Attorneys","Khan Law Firm","Fielding Law Group","Anthony Otto Attorney At Law","Bernard Law Group","Advocates Law","Washington Injury Law","Seattle Injury Law","Premier Law Group, PLLC","Boohoff Law, P.A.","Khan Law Firm PLLC","Wattel & York Injury & Accident Attorneys","Hardwick & Pendergast, P.S.","Premier Law Group, PLLC","Park Chenaur & Associates, Inc., P.S.","Ladenburg Law Injury Attorneys","Park Chenaur & Associates, Inc., P.S.",
"20+","47.51320429147536","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.51320429147536,47.51320429147536","Anthony Otto Attorney At Law","Davis Law Group - Injury Lawyers","GLP Personal Injury Attorneys","Altman Law Offices","Fielding Law Group","Becker Franklin Rovang, PLLC","Dubin Law Group - Personal Injury Attorneys","Khan Law Firm","Seattle Car Accident Law Firm","Bernard Law Group","Washington Injury Law","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Hardwick & Pendergast, P.S.","Kornfeld Law","Wattel & York Injury & Accident Attorneys","Emerald Law Group",
"20+","47.53385707318029","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.53385707318029,47.53385707318029","Altman Law Offices","Davis Law Group - Injury Lawyers","Anthony Otto Attorney At Law","GLP Personal Injury Attorneys","Dubin Law Group - Personal Injury Attorneys","Fielding Law Group","Becker Franklin Rovang, PLLC","Khan Law Firm","Seattle Car Accident Law Firm","Bernard Law Group","Washington Injury Law","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Witt Law Group PS","Kornfeld Law","Hardwick & Pendergast, P.S.","Dean Standish Perkins & Associates",
"20+","47.55450985488522","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.55450985488522,47.55450985488522","Altman Law Offices","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Becker Franklin Rovang, PLLC","Khan Law Firm","Fielding Law Group","Bernard Law Group","Washington Injury Law","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Witt Law Group PS","Seattle Car Accident Law Firm","Dean Standish Perkins & Associates","Anthony Otto Attorney At Law","Hardwick & Pendergast, P.S.","Caffee Accident & Injury Lawyers","Coluccio Law","Premier Law Group, PLLC",
"20+","47.57516263659014","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.57516263659014,47.57516263659014","Altman Law Offices","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","GLP Personal Injury Attorneys","Seattle Car Accident Law Firm","Bernard Law Group","Fielding Law Group","Khan Law Firm","Washington Injury Law","Caffee Accident & Injury Lawyers","Becker Franklin Rovang, PLLC","Seattle Injury Law","Advocates Law","Boohoff Law, P.A.","Anthony Otto Attorney At Law","Premier Law Group, PLLC","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Witt Law Group PS","Kornfeld Law","Dean Standish Perkins & Associates",
"20+","47.595815418295075","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.595815418295075,47.595815418295075","Altman Law Offices","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Washington Injury Law","Bernard Law Group","Khan Law Firm","Fielding Law Group","Caffee Accident & Injury Lawyers","Seattle Injury Law","Boohoff Law, P.A.","Advocates Law","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Premier Law Group, PLLC","GLP Personal Injury Attorneys","Kornfeld Law","Becker Franklin Rovang, PLLC","Witt Law Group PS","Dean Standish Perkins & Associates","Anthony Otto Attorney At Law",
"20+","47.6164682","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.6164682,47.6164682","Davis Law Group - Injury Lawyers","Altman Law Offices","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Washington Injury Law","Bernard Law Group","Khan Law Firm","Caffee Accident & Injury Lawyers","Fielding Law Group","Seattle Injury Law","Boohoff Law, P.A.","Advocates Law","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Premier Law Group, PLLC","Kornfeld Law","Dean Standish Perkins & Associates","GLP Personal Injury Attorneys","Emerald Law Group","Coluccio Law","Becker Franklin Rovang, PLLC",
"20+","47.637120981704925","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.637120981704925,47.637120981704925","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Altman Law Offices","Washington Injury Law","Bernard Law Group","Khan Law Firm","Seattle Injury Law","Seattle Car Accident Law Firm","Advocates Law","Boohoff Law, P.A.","Fielding Law Group","Premier Law Group, PLLC","Dubin Law Group - Personal Injury Attorneys","Dean Standish Perkins & Associates","Certa Law Group, PS","Caffee Accident & Injury Lawyers","Cherin Law Firm, PLLC","Coluccio Law","GLP Personal Injury Attorneys","Becker Franklin Rovang, PLLC",
"20+","47.65777376340986","-122.55560559266452","https://www.google.com/maps/search/?api=1&query=47.65777376340986,47.65777376340986","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Altman Law Offices","Washington Injury Law","Bernard Law Group","Caffee Accident & Injury Lawyers","Seattle Injury Law","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Khan Law Firm","Advocates Law","Boohoff Law, P.A.","Fielding Law Group","Altman Law Offices","Premier Law Group, PLLC","Kornfeld Law","Dean Standish Perkins & Associates","Dubin Law Group - Personal Injury Attorneys","Emerald Law Group","Certa Law Group, PS",
