"Business:","Buckley & Associates,675 S Lane St Suite 300, Seattle, WA 98104"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-13 07:48:07
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.40"
"ATRP:","20.88"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","47.45187812806551","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.45187812806551,47.45187812806551","Davis Law Group - Injury Lawyers","Fielding Law Group","Khan Law Firm","Dubin Law Group - Personal Injury Attorneys","Ladenburg Law Injury Attorneys","Wattel & York Injury & Accident Attorneys","Altman Law Offices","Park Chenaur & Associates, Inc., P.S.","Premier Law Group, PLLC","Advocates Law","Park Chenaur & Associates, Inc., P.S.","Becker Franklin Rovang, PLLC","Washington Injury Law","Khan Law Firm PLLC","Premier Law Group, PLLC","Boohoff Law, P.A.","Seattle Injury Law","Bernard Law Group","Hardwick & Pendergast, P.S.","Greaney Scudder Law Firm",
"20+","47.472530909770434","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.472530909770434,47.472530909770434","Davis Law Group - Injury Lawyers","Anthony Otto Attorney At Law","Fielding Law Group","Khan Law Firm","Altman Law Offices","Dubin Law Group - Personal Injury Attorneys","GLP Personal Injury Attorneys","Seattle Car Accident Law Firm","Becker Franklin Rovang, PLLC","Bernard Law Group","Wattel & York Injury & Accident Attorneys","Washington Injury Law","Hardwick & Pendergast, P.S.","Advocates Law","Caffee Accident & Injury Lawyers","Premier Law Group, PLLC","Boohoff Law, P.A.","Seattle Injury Law","Greaney Scudder Law Firm","Kannin Law Firm P.S. -Personal Injury Lawyer",
"20+","47.49318369147536","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.49318369147536,47.49318369147536","Davis Law Group - Injury Lawyers","Anthony Otto Attorney At Law","Fielding Law Group","Altman Law Offices","GLP Personal Injury Attorneys","Khan Law Firm","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Bernard Law Group","Becker Franklin Rovang, PLLC","Washington Injury Law","Caffee Accident & Injury Lawyers","Advocates Law","Premier Law Group, PLLC","Boohoff Law, P.A.","Seattle Injury Law","Hardwick & Pendergast, P.S.","Wattel & York Injury & Accident Attorneys","Kornfeld Law","Greaney Scudder Law Firm",
"20+","47.51383647318029","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.51383647318029,47.51383647318029","Anthony Otto Attorney At Law","Davis Law Group - Injury Lawyers","Altman Law Offices","GLP Personal Injury Attorneys","Fielding Law Group","Khan Law Firm","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Becker Franklin Rovang, PLLC","Bernard Law Group","Advocates Law","Washington Injury Law","Caffee Accident & Injury Lawyers","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Hardwick & Pendergast, P.S.","Wattel & York Injury & Accident Attorneys","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Kornfeld Law",
"20+","47.534489254885216","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.534489254885216,47.534489254885216","Davis Law Group - Injury Lawyers","Altman Law Offices","Anthony Otto Attorney At Law","Fielding Law Group","GLP Personal Injury Attorneys","Dubin Law Group - Personal Injury Attorneys","Khan Law Firm","Bernard Law Group","Seattle Car Accident Law Firm","Washington Injury Law","Caffee Accident & Injury Lawyers","Becker Franklin Rovang, PLLC","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Kornfeld Law","Hardwick & Pendergast, P.S.","Dean Standish Perkins & Associates","Emerald Law Group",
"20+","47.55514203659014","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.55514203659014,47.55514203659014","Davis Law Group - Injury Lawyers","Altman Law Offices","Dubin Law Group - Personal Injury Attorneys","Fielding Law Group","GLP Personal Injury Attorneys","Khan Law Firm","Bernard Law Group","Seattle Car Accident Law Firm","Washington Injury Law","Anthony Otto Attorney At Law","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Becker Franklin Rovang, PLLC","Kornfeld Law","Emerald Law Group","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Hardwick & Pendergast, P.S.",
"20+","47.57579481829507","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.57579481829507,47.57579481829507","Davis Law Group - Injury Lawyers","Altman Law Offices","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Bernard Law Group","Khan Law Firm","Fielding Law Group","Washington Injury Law","GLP Personal Injury Attorneys","Caffee Accident & Injury Lawyers","Advocates Law","Seattle Injury Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Anthony Otto Attorney At Law","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Becker Franklin Rovang, PLLC","Kornfeld Law","Dean Standish Perkins & Associates","Emerald Law Group",
"20+","47.5964476","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.5964476,47.5964476","Davis Law Group - Injury Lawyers","Altman Law Offices","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Bernard Law Group","Washington Injury Law","Khan Law Firm","Fielding Law Group","Caffee Accident & Injury Lawyers","Seattle Injury Law","Advocates Law","Boohoff Law, P.A.","Premier Law Group, PLLC","Russell & Hill, PLLC - Seattle Personal Injury Attorney","GLP Personal Injury Attorneys","Kornfeld Law","Dean Standish Perkins & Associates","Emerald Law Group","Becker Franklin Rovang, PLLC","Anthony Otto Attorney At Law",
"20+","47.61710038170492","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.61710038170492,47.61710038170492","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Altman Law Offices","Seattle Car Accident Law Firm","Washington Injury Law","Bernard Law Group","Khan Law Firm","Caffee Accident & Injury Lawyers","Seattle Injury Law","Fielding Law Group","Advocates Law","Boohoff Law, P.A.","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Premier Law Group, PLLC","Kornfeld Law","Dean Standish Perkins & Associates","Emerald Law Group","GLP Personal Injury Attorneys","Coluccio Law","GLP Personal Injury Attorneys",
"20+","47.637753163409855","-122.53866182013142","https://www.google.com/maps/search/?api=1&query=47.637753163409855,47.637753163409855","Davis Law Group - Injury Lawyers","Dubin Law Group - Personal Injury Attorneys","Seattle Car Accident Law Firm","Altman Law Offices","Washington Injury Law","Bernard Law Group","Caffee Accident & Injury Lawyers","Khan Law Firm","Seattle Injury Law","Fielding Law Group","Advocates Law","Russell & Hill, PLLC - Seattle Personal Injury Attorney","Boohoff Law, P.A.","Premier Law Group, PLLC","Kornfeld Law","Dean Standish Perkins & Associates","Emerald Law Group","Altman Law Offices","Coluccio Law","GLP Personal Injury Attorneys",
