"Business:","Matthews Injury Law,500 E Kennedy Blvd UNIT 217, Tampa, FL 33602"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-14 05:52:39
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.64"
"ATRP:","18.28"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","27.803988628065508","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.803988628065508,27.803988628065508","Sibley Dolman Gipe Accident Injury Lawyers, PA","Emerson Straw PL, Personal Injury, Medical Malpractice & Car Accident Attorneys","Abrahamson & Uiterwyk Injury Lawyers","St Petersburg Personal Injury Attorneys McQuaid & Douglas","John Bales Attorneys","Reeder & Nussbaum, P.A.","The Ruth Law Team","Bulluck Law Group","Dennis Hernandez & Associates, PA","Catania and Catania Injury Lawyers","Salter, Healy, Rivera","Rinaldo Law Group - Tampa Injury Lawyer","Jack Bernstein, Injury Attorneys","Abrahamson & Uiterwyk Injury Lawyers","Catania and Catania Injury Lawyers","Denmon Pearlman Accident Injury Lawyers","Pipas Law Group","Perenich Law Injury Attorneys","The Barker Law Firm","Sibley Dolman Gipe Accident Injury Lawyers, PA",
"20+","27.824641409770436","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.824641409770436,27.824641409770436","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Emerson Straw PL, Personal Injury, Medical Malpractice & Car Accident Attorneys","St Petersburg Personal Injury Attorneys McQuaid & Douglas","John Bales Attorneys","The Ruth Law Team","Reeder & Nussbaum, P.A.","Bulluck Law Group","Rinaldo Law Group - Tampa Injury Lawyer","Dennis Hernandez & Associates, PA","Salter, Healy, Rivera","Clark Law","The Fran Haasch Law Group - Clearwater","Jack Bernstein, Injury Attorneys","Abrahamson & Uiterwyk Injury Lawyers","Catania and Catania Injury Lawyers","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Perenich Law Injury Attorneys","Pipas Law Group",
"20+","27.845294191475364","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.845294191475364,27.845294191475364","John Bales Attorneys","The Ruth Law Team","Emerson Straw PL, Personal Injury, Medical Malpractice & Car Accident Attorneys","Sibley Dolman Gipe Accident Injury Lawyers, PA","St Petersburg Personal Injury Attorneys McQuaid & Douglas","Kinney, Fernandez, & Boire P.A.","Abrahamson & Uiterwyk Injury Lawyers","Bulluck Law Group","Car Accident Lawyer","Clark Law","Rinaldo Law Group - Tampa Injury Lawyer","Amy A. Catledge; The Ruth Law Team","Reeder & Nussbaum, P.A.","Jack Bernstein, Injury Attorneys","The Fran Haasch Law Group - Clearwater","Law Office of Byron L. Kennedy III, Esq.","Catania and Catania Injury Lawyers","Sibley Dolman Gipe Accident Injury Lawyers, PA","Q Auto & Injury Attorneys","Abrahamson & Uiterwyk Injury Lawyers",
"20+","27.86594697318029","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.86594697318029,27.86594697318029","John Bales Attorneys","The Ruth Law Team","Clark Law","Kinney, Fernandez, & Boire P.A.","Emerson Straw PL, Personal Injury, Medical Malpractice & Car Accident Attorneys","St Petersburg Personal Injury Attorneys McQuaid & Douglas","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Car Accident Lawyer","Jack Bernstein, Injury Attorneys","Rinaldo Law Group - Tampa Injury Lawyer","Amy A. Catledge; The Ruth Law Team","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Catania and Catania Injury Lawyers","Bulluck Law Group","The Fran Haasch Law Group - Clearwater","Abrahamson & Uiterwyk Injury Lawyers","Q Auto & Injury Attorneys","Farah & Farah",
"20+","27.886599754885218","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.886599754885218,27.886599754885218","John Bales Attorneys","The Ruth Law Team","Jack Bernstein, Injury Attorneys","Kinney, Fernandez, & Boire P.A.","Rinaldo Law Group - Tampa Injury Lawyer","Emerson Straw PL, Personal Injury, Medical Malpractice & Car Accident Attorneys","Car Accident Lawyer","St Petersburg Personal Injury Attorneys McQuaid & Douglas","Clark Law","Sibley Dolman Gipe Accident Injury Lawyers, PA","Farah & Farah","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Abrahamson & Uiterwyk Injury Lawyers","Catania and Catania Injury Lawyers","Abrahamson & Uiterwyk Injury Lawyers","Amy A. Catledge; The Ruth Law Team","The Fran Haasch Law Group - Clearwater","Steinger, Greene & Feiner","Q Auto & Injury Attorneys",
"20+","27.907252536590146","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.907252536590146,27.907252536590146","John Bales Attorneys","Jack Bernstein, Injury Attorneys","Rinaldo Law Group - Tampa Injury Lawyer","The Ruth Law Team","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Farah & Farah","St Petersburg Personal Injury Attorneys McQuaid & Douglas","Sibley Dolman Gipe Accident Injury Lawyers, PA","Catania and Catania Injury Lawyers","Abrahamson & Uiterwyk Injury Lawyers","Clark Law","Emerson Straw PL, Personal Injury, Medical Malpractice & Car Accident Attorneys","Sibley Dolman Gipe Accident Injury Lawyers, PA","Roman & Gaynor Accident Injury Lawyers","Steinger, Greene & Feiner","The Fran Haasch Law Group - Clearwater","Personal Injury Lawyer Florida - Jim Dodson Law","Darrigo & Diaz, Injury Attorneys","Distasio Law Firm",
"20+","27.92790531829507","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.92790531829507,27.92790531829507","Jack Bernstein, Injury Attorneys","Rinaldo Law Group - Tampa Injury Lawyer","Abrahamson & Uiterwyk Injury Lawyers","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Farah & Farah","Sibley Dolman Gipe Accident Injury Lawyers, PA","John Bales Attorneys","Catania and Catania Injury Lawyers","St Petersburg Personal Injury Attorneys McQuaid & Douglas","Roman & Gaynor Accident Injury Lawyers","Sibley Dolman Gipe Accident Injury Lawyers, PA","Hancock Injury Attorneys","Darrigo & Diaz, Injury Attorneys","Steinger, Greene & Feiner","Emerson Straw PL, Personal Injury, Medical Malpractice & Car Accident Attorneys","Abrahamson & Uiterwyk Injury Lawyers","The Ruth Law Team","Lorenzo & Lorenzo PA","Personal Injury Lawyer Florida - Jim Dodson Law",
"20+","27.9485581","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.9485581,27.9485581","Jack Bernstein, Injury Attorneys","Abrahamson & Uiterwyk Injury Lawyers","Rinaldo Law Group - Tampa Injury Lawyer","Sibley Dolman Gipe Accident Injury Lawyers, PA","Sibley Dolman Gipe Accident Injury Lawyers, PA","Abrahamson & Uiterwyk Injury Lawyers","Farah & Farah","Roman & Gaynor Accident Injury Lawyers","Catania and Catania Injury Lawyers","Hancock Injury Attorneys","Lorenzo & Lorenzo PA","Darrigo & Diaz, Injury Attorneys","St Petersburg Personal Injury Attorneys McQuaid & Douglas","Sibley Dolman Gipe Accident Injury Lawyers, PA","Personal Injury Lawyer Florida - Jim Dodson Law","The Pendas Law Firm","Steinger, Greene & Feiner","Dennis Hernandez & Associates, PA","John Bales Attorneys","Rubenstein Law",
"20+","27.969210881704928","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.969210881704928,27.969210881704928","Sibley Dolman Gipe Accident Injury Lawyers, PA","Jack Bernstein, Injury Attorneys","Abrahamson & Uiterwyk Injury Lawyers","Rinaldo Law Group - Tampa Injury Lawyer","Car Accident Lawyer","Sibley Dolman Gipe Accident Injury Lawyers, PA","Farah & Farah","Roman & Gaynor Accident Injury Lawyers","Abrahamson & Uiterwyk Injury Lawyers","Catania and Catania Injury Lawyers","Hancock Injury Attorneys","Darrigo & Diaz, Injury Attorneys","Lorenzo & Lorenzo PA","1-800-INJURED","Steinger, Greene & Feiner","Winters & Yonker, P.A.","The Pendas Law Firm","John Bales Attorneys","Kinney, Fernandez & Boire, P.A.","Personal Injury Lawyer Florida - Jim Dodson Law",
"20+","27.989863663409853","-82.61971189274242","https://www.google.com/maps/search/?api=1&query=27.989863663409853,27.989863663409853","Sibley Dolman Gipe Accident Injury Lawyers, PA","Jack Bernstein, Injury Attorneys","Abrahamson & Uiterwyk Injury Lawyers","Rinaldo Law Group - Tampa Injury Lawyer","Sibley Dolman Gipe Accident Injury Lawyers, PA","Car Accident Lawyer","Roman & Gaynor Accident Injury Lawyers","Farah & Farah","Hancock Injury Attorneys","Abrahamson & Uiterwyk Injury Lawyers","Catania and Catania Injury Lawyers","Darrigo & Diaz, Injury Attorneys","Lorenzo & Lorenzo PA","Steinger, Greene & Feiner","1-800-INJURED","Winters & Yonker, P.A.","The Pendas Law Firm","Boohoff Law, P.A.","Nightingale Law Firm","Perenich Law Injury Attorneys",
