"Business:","Shapiro & Appleton,355 Crawford St 7Th Floor, Portsmouth, VA 23704"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 10:46:44
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","18.25"
"ATRP:","20.85"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","36.69341152806551","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.69341152806551,36.69341152806551","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Steven M. Oser, P.C.","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","East Coast Trial Lawyers, PLC","Lawrence K. Land","Huffman & Huffman Brothers-in-Law, PLLC","Portner & Shure, P.A.",
"20+","36.714064309770436","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.714064309770436,36.714064309770436","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Steven M. Oser, P.C.","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","East Coast Trial Lawyers, PLC","Huffman & Huffman Brothers-in-Law, PLLC","Auto Accident Specialists",
"20+","36.73471709147536","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.73471709147536,36.73471709147536","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Atkinson Law - Serious Personal Injury","Steven M. Oser, P.C.","Commonwealth Accident Injury Law, PC","Cooper Hurley Injury Lawyers","Kalfus & Nachman PC","Hampton Injury Law PLC","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","Huffman & Huffman Brothers-in-Law, PLLC","Portner & Shure, P.A.","Auto Accident Specialists",
"20+","36.75536987318029","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.75536987318029,36.75536987318029","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Steven M. Oser, P.C.","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Huffman & Huffman Brothers-in-Law, PLLC",
"20+","36.77602265488522","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.77602265488522,36.77602265488522","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Atkinson Law - Serious Personal Injury","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Cooper Hurley Injury Lawyers","Steven M. Oser, P.C.","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Bangel, Bangel, & Bangel",
"20+","36.79667543659014","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.79667543659014,36.79667543659014","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Cooper Hurley Injury Lawyers","Kalfus & Nachman PC","Hampton Injury Law PLC","Steven M. Oser, P.C.","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Lawrence K. Land","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Bangel, Bangel, & Bangel",
"20+","36.817328218295074","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.817328218295074,36.817328218295074","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Kalfus & Nachman PC","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Steven M. Oser, P.C.","Lawrence K. Land","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Bangel, Bangel, & Bangel",
"20+","36.837981","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.837981,36.837981","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Hampton Injury Law PLC","Kalfus & Nachman PC","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Portner & Shure, P.A.","Lawrence K. Land","Steven M. Oser, P.C.","East Coast Trial Lawyers, PLC","Bangel, Bangel, & Bangel",
"20+","36.858633781704924","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.858633781704924,36.858633781704924","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Hampton Injury Law PLC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Portner & Shure, P.A.","Kalfus & Nachman PC","Law Tigers Motorcycle Injury Lawyers - Newport News","Auto Accident Specialists","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Miller Joseph A","Lawrence K. Land",
"20+","36.879286563409856","-76.47816730024282","https://www.google.com/maps/search/?api=1&query=36.879286563409856,36.879286563409856","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Hampton Injury Law PLC","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Larry King Law","Lawrence K. Land","East Coast Trial Lawyers, PLC","Law Tigers Motorcycle Injury Lawyers - Newport News","Huffman & Huffman Brothers-in-Law, PLLC",
