"Business:","Lawrence K. Land,101 W Main St #710, Norfolk, VA 23510, United States"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-20 10:34:26
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","15.17"
"ATRP:","17.58"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"18","36.70157052806551","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.70157052806551,36.70157052806551","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Steven M. Oser, P.C.","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","East Coast Trial Lawyers, PLC","Lawrence K. Land","Huffman & Huffman Brothers-in-Law, PLLC","Auto Accident Specialists",
"17","36.722223309770435","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.722223309770435,36.722223309770435","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Steven M. Oser, P.C.","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","East Coast Trial Lawyers, PLC","Huffman & Huffman Brothers-in-Law, PLLC","Auto Accident Specialists",
"17","36.74287609147536","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.74287609147536,36.74287609147536","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Steven M. Oser, P.C.","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Huffman & Huffman Brothers-in-Law, PLLC",
"17","36.76352887318029","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.76352887318029,36.76352887318029","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Cooper Hurley Injury Lawyers","Steven M. Oser, P.C.","Hampton Injury Law PLC","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Bangel, Bangel, & Bangel",
"17","36.78418165488522","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.78418165488522,36.78418165488522","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Atkinson Law - Serious Personal Injury","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Steven M. Oser, P.C.","Atkinson Law - Serious Personal Injury","Rutter Mills, LLP","Lawrence K. Land","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Bangel, Bangel, & Bangel",
"17","36.80483443659014","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.80483443659014,36.80483443659014","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Kalfus & Nachman PC","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Steven M. Oser, P.C.","Lawrence K. Land","Portner & Shure, P.A.","East Coast Trial Lawyers, PLC","Bangel, Bangel, & Bangel",
"16","36.82548721829507","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.82548721829507,36.82548721829507","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Kalfus & Nachman PC","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Lawrence K. Land","Steven M. Oser, P.C.","East Coast Trial Lawyers, PLC","Portner & Shure, P.A.","Bangel, Bangel, & Bangel",
"16","36.84614","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.84614,36.84614","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Lawrence K. Land","Portner & Shure, P.A.","East Coast Trial Lawyers, PLC","Bangel, Bangel, & Bangel","Larry King Law",
"16","36.86679278170492","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.86679278170492,36.86679278170492","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Auto Accident Specialists, Inc.","Hampton Injury Law PLC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Commonwealth Accident Injury Law, PC","Atkinson Law - Serious Personal Injury","Kalfus & Nachman PC","Rutter Mills, LLP","Lawrence K. Land","Bangel, Bangel, & Bangel","Law Tigers Motorcycle Injury Lawyers - Newport News","East Coast Trial Lawyers, PLC","Huffman & Huffman Brothers-in-Law, PLLC",
"17","36.887445563409855","-76.47379367390994","https://www.google.com/maps/search/?api=1&query=36.887445563409855,36.887445563409855","Atkinson Law - Serious Personal Injury","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Hampton Injury Law PLC","Auto Accident Specialists, Inc.","Cooper Hurley Injury Lawyers","Law Offices of Richard J. Serpe, PC","Cooper Hurley Injury Lawyers","Cooper Hurley Injury Lawyers","Commonwealth Accident Injury Law, PC","Kalfus & Nachman PC","Rutter Mills, LLP","Atkinson Law - Serious Personal Injury","Larry King Law","Lawrence K. Land","Law Tigers Motorcycle Injury Lawyers - Newport News","Huffman & Huffman Brothers-in-Law, PLLC","East Coast Trial Lawyers, PLC",
