"Business:","Patrick Malone & Associates, P.C.,1310 L St NW #800, Washington, DC 20005, United States"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 08:12:37
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","13.35"
"ATRP:","15.63"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","38.831049064032754","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.831049064032754,38.831049064032754","Blaszkow Legal","Law Offices of Gerald A. Schwartz","The Barrera Law Firm, PLLC","Becker, Kellogg & Berry, P.C.","Brien Roche Law","Cohen & Cohen, P.C.","Price Benowitz LLP","Koonz McKenney Johnson & DePaolis LLP","Hilton & Somer LLC","Curcio Law","The Law Offices of Jeremy Flachs","Chaikin, Sherman, Cammarata & Siegel, P.C.","ChasenBoscolo","Morgan & Morgan","Portner & Shure, P.A.","The Law Office of Jermaine D. Hammonds, LLC","Tysons Personal Injury Lawyer","The Abelson Law Firm","Morgenstern Injury Lawyers","Koonz McKenney Johnson & DePaolis LLP",
"20+","38.84137545488522","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.84137545488522,38.84137545488522","Blaszkow Legal","Law Offices of Gerald A. Schwartz","Becker, Kellogg & Berry, P.C.","The Barrera Law Firm, PLLC","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Price Benowitz LLP","Brien Roche Law","Hilton & Somer LLC","Chaikin, Sherman, Cammarata & Siegel, P.C.","Curcio Law","The Law Offices of Jeremy Flachs","ChasenBoscolo","Morgan & Morgan","Portner & Shure, P.A.","The Abelson Law Firm","Tysons Personal Injury Lawyer","The Strong Law Firm","Law Office of Ryan Quinn, PLLC","Morgenstern Injury Lawyers",
"20+","38.85170184573768","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.85170184573768,38.85170184573768","Blaszkow Legal","Koonz McKenney Johnson & DePaolis LLP","Law Offices of Gerald A. Schwartz","Becker, Kellogg & Berry, P.C.","Cohen & Cohen, P.C.","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Brien Roche Law","Hilton & Somer LLC","The Abelson Law Firm","The Barrera Law Firm, PLLC","The Law Offices of Jeremy Flachs","Curcio Law","ChasenBoscolo","Morgan & Morgan","The Law Offices of Jeremy Flachs","Morgenstern Injury Lawyers","The Strong Law Firm","Law Office of Ryan Quinn, PLLC","Portner & Shure, P.A.",
"20+","38.86202823659014","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.86202823659014,38.86202823659014","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Blaszkow Legal","Chaikin, Sherman, Cammarata & Siegel, P.C.","Law Offices of Gerald A. Schwartz","Price Benowitz LLP","Hilton & Somer LLC","The Abelson Law Firm","Morgenstern Injury Lawyers","Becker, Kellogg & Berry, P.C.","Morgan & Morgan","Brien Roche Law","ChasenBoscolo","Curcio Law","The Law Offices of Jeremy Flachs","The Law Offices of Jeremy Flachs","The Barrera Law Firm, PLLC","Portner & Shure, P.A.","Tysons Personal Injury Lawyer","The Strong Law Firm",
"20+","38.872354627442604","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.872354627442604,38.872354627442604","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Blaszkow Legal","Morgan & Morgan","The Abelson Law Firm","Hilton & Somer LLC","Zukerberg & Halperin, PLLC","Morgenstern Injury Lawyers","Law Offices of Gerald A. Schwartz","ChasenBoscolo","Brien Roche Law","The Law Offices of Jeremy Flachs","Becker, Kellogg & Berry, P.C.","Perry Charnoff, PLLC","The Strong Law Firm","Portner & Shure, P.A.","The Law Offices of Jeremy Flachs","Tysons Personal Injury Lawyer",
"20+","38.882681018295074","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.882681018295074,38.882681018295074","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Morgan & Morgan","The Abelson Law Firm","Zukerberg & Halperin, PLLC","Perry Charnoff, PLLC","Morgenstern Injury Lawyers","Hilton & Somer LLC","Blaszkow Legal","ChasenBoscolo","Law Offices of Gerald A. Schwartz","Portner & Shure, P.A.","The Strong Law Firm","Law Office of Ryan Quinn, PLLC","Tysons Personal Injury Lawyer","Becker, Kellogg & Berry, P.C.","The Barrera Law Firm, PLLC","Morgenstern Injury Lawyers",
"16","38.893007409147536","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.893007409147536,38.893007409147536","Cohen & Cohen, P.C.","Chaikin, Sherman, Cammarata & Siegel, P.C.","Koonz McKenney Johnson & DePaolis LLP","Price Benowitz LLP","Blaszkow Legal","Hilton & Somer LLC","Zukerberg & Halperin, PLLC","Becker, Kellogg & Berry, P.C.","The Barrera Law Firm, PLLC","Greenberg & Bederman, LLC","The Abelson Law Firm","Malloy Law Offices, LLC","Goldberg Finnegan","The Strong Law Firm","Price Benowitz LLP","Patrick Malone & Associates, P.C.","Mesirow & Associates, PLLC","ChasenBoscolo","Portner & Shure, P.A.","Trombly & Singer, PLLC",
"20+","38.9033338","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.9033338,38.9033338","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","The Abelson Law Firm","Zukerberg & Halperin, PLLC","Morgenstern Injury Lawyers","Hilton & Somer LLC","Morgan & Morgan","The Law Offices of Jeremy Flachs","Blaszkow Legal","ChasenBoscolo","Portner & Shure, P.A.","Tysons Personal Injury Lawyer","The Strong Law Firm","Perry Charnoff, PLLC","Law Office of Ryan Quinn, PLLC","Law Offices of Gerald A. Schwartz","Morgenstern Injury Lawyers","Goldberg Finnegan",
"20+","38.91366019085246","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.91366019085246,38.91366019085246","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Zukerberg & Halperin, PLLC","The Abelson Law Firm","Morgenstern Injury Lawyers","Hilton & Somer LLC","The Law Offices of Jeremy Flachs","The Strong Law Firm","Tysons Personal Injury Lawyer","Portner & Shure, P.A.","ChasenBoscolo","Morgan & Morgan","Blaszkow Legal","Goldberg Finnegan","Greenberg & Bederman, LLC","Morgenstern Injury Lawyers","Perry Charnoff, PLLC","Malloy Law Offices, LLC",
"20+","38.92398658170492","-77.12355220443459","https://www.google.com/maps/search/?api=1&query=38.92398658170492,38.92398658170492","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Zukerberg & Halperin, PLLC","The Abelson Law Firm","Morgenstern Injury Lawyers","Hilton & Somer LLC","The Law Offices of Jeremy Flachs","The Strong Law Firm","Tysons Personal Injury Lawyer","Goldberg Finnegan","Portner & Shure, P.A.","Morgan & Morgan","ChasenBoscolo","Greenberg & Bederman, LLC","Malloy Law Offices, LLC","Morgenstern Injury Lawyers","Blaszkow Legal","Law Office of Ryan Quinn, PLLC",
