"Business:","Washington Law Center,651 Strander Blvd #215, Tukwila, WA 98188"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-16 08:15:20
"Grid Size:","15x15"
"Radius:","5.0mi"
"ARP:","14.19"
"ATRP:","18.04"
"SoLV:","0.44"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","47.38279286403275","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.38279286403275,47.38279286403275","Kannin Law Firm P.S. -Personal Injury Lawyer","Fielding Law Group","Greaney Scudder Law Firm","The Ye Law Firm, Inc. P.S.","Park Chenaur & Associates, Inc., P.S.","Khan Law Firm PLLC","Hardwick & Pendergast, P.S.","Herschensohn Law Firm, PLLC","Davis Law Group - Injury Lawyers","Premier Law Group, PLLC","Retacco Law Offices","Wattel & York Injury & Accident Attorneys","Dubin Law Group - Personal Injury Attorneys","Fielding Law Group","Bishop Legal","Khan Law Firm","Lionheart Law","Craig Swapp & Associates","Law Offices Of Harold D. Carr, PS","Ladenburg Law Injury Attorneys",
"20+","47.393119254885214","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.393119254885214,47.393119254885214","Kannin Law Firm P.S. -Personal Injury Lawyer","Fielding Law Group","Greaney Scudder Law Firm","Hardwick & Pendergast, P.S.","The Ye Law Firm, Inc. P.S.","Khan Law Firm PLLC","Davis Law Group - Injury Lawyers","Park Chenaur & Associates, Inc., P.S.","Herschensohn Law Firm, PLLC","Bishop Legal","Khan Law Firm","Dubin Law Group - Personal Injury Attorneys","Wattel & York Injury & Accident Attorneys","Khan Law Firm PLLC","Lionheart Law","Retacco Law Offices","Premier Law Group, PLLC","Fielding Law Group","Ladenburg Law Injury Attorneys","Craig Swapp & Associates",
"20+","47.403445645737676","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.403445645737676,47.403445645737676","Fielding Law Group","Kannin Law Firm P.S. -Personal Injury Lawyer","Greaney Scudder Law Firm","Hardwick & Pendergast, P.S.","Khan Law Firm PLLC","Davis Law Group - Injury Lawyers","Bishop Legal","The Ye Law Firm, Inc. P.S.","Park Chenaur & Associates, Inc., P.S.","Herschensohn Law Firm, PLLC","Khan Law Firm","Khan Law Firm PLLC","Lionheart Law","Dubin Law Group - Personal Injury Attorneys","Wattel & York Injury & Accident Attorneys","Premier Law Group, PLLC","Ladenburg Law Injury Attorneys","Fielding Law Group","Edward K. Le, PLLC","Retacco Law Offices",
"20+","47.41377203659014","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.41377203659014,47.41377203659014","Fielding Law Group","Kannin Law Firm P.S. -Personal Injury Lawyer","Greaney Scudder Law Firm","Hardwick & Pendergast, P.S.","Bishop Legal","Davis Law Group - Injury Lawyers","Khan Law Firm PLLC","Herschensohn Law Firm, PLLC","Khan Law Firm PLLC","Park Chenaur & Associates, Inc., P.S.","The Ye Law Firm, Inc. P.S.","Khan Law Firm","Habtemariam Law Firm PLLC","Lionheart Law","Wattel & York Injury & Accident Attorneys","Fielding Law Group","Ladenburg Law Injury Attorneys","Edward K. Le, PLLC","Dubin Law Group - Personal Injury Attorneys","Premier Law Group, PLLC",
"20+","47.4240984274426","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.4240984274426,47.4240984274426","Fielding Law Group","Kannin Law Firm P.S. -Personal Injury Lawyer","Greaney Scudder Law Firm","Hardwick & Pendergast, P.S.","Bishop Legal","Khan Law Firm PLLC","Davis Law Group - Injury Lawyers","Khan Law Firm PLLC","Habtemariam Law Firm PLLC","Herschensohn Law Firm, PLLC","Khan Law Firm","Park Chenaur & Associates, Inc., P.S.","Lionheart Law","The Ye Law Firm, Inc. P.S.","Tracy Codd","Wattel & York Injury & Accident Attorneys","Edward K. Le, PLLC","Fielding Law Group","Ladenburg Law Injury Attorneys","Dubin Law Group - Personal Injury Attorneys",
"20+","47.43442481829507","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.43442481829507,47.43442481829507","Fielding Law Group","Kannin Law Firm P.S. -Personal Injury Lawyer","Khan Law Firm PLLC","Greaney Scudder Law Firm","Hardwick & Pendergast, P.S.","Davis Law Group - Injury Lawyers","Bishop Legal","Habtemariam Law Firm PLLC","Khan Law Firm","Khan Law Firm PLLC","Herschensohn Law Firm, PLLC","Park Chenaur & Associates, Inc., P.S.","Lionheart Law","The Ye Law Firm, Inc. P.S.","Tracy Codd","Edward K. Le, PLLC","Dubin Law Group - Personal Injury Attorneys","Wattel & York Injury & Accident Attorneys","Fielding Law Group","Ladenburg Law Injury Attorneys",
"20+","47.44475120914753","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.44475120914753,47.44475120914753","Fielding Law Group","Khan Law Firm PLLC","Davis Law Group - Injury Lawyers","Kannin Law Firm P.S. -Personal Injury Lawyer","Hardwick & Pendergast, P.S.","Greaney Scudder Law Firm","Khan Law Firm","Habtemariam Law Firm PLLC","Bishop Legal","Khan Law Firm PLLC","Herschensohn Law Firm, PLLC","Dubin Law Group - Personal Injury Attorneys","Tracy Codd","Park Chenaur & Associates, Inc., P.S.","The Ye Law Firm, Inc. P.S.","Lionheart Law","Wattel & York Injury & Accident Attorneys","Bernard Law Group","Edward K. Le, PLLC","Seattle Car Accident Law Firm",
"20+","47.455077599999996","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.455077599999996,47.455077599999996","Fielding Law Group","Khan Law Firm PLLC","Davis Law Group - Injury Lawyers","Khan Law Firm","Hardwick & Pendergast, P.S.","Greaney Scudder Law Firm","Habtemariam Law Firm PLLC","Kannin Law Firm P.S. -Personal Injury Lawyer","Tracy Codd","Herschensohn Law Firm, PLLC","Bishop Legal","Khan Law Firm PLLC","Lionheart Law","Edward K. Le, PLLC","Dubin Law Group - Personal Injury Attorneys","Caffee Accident & Injury Lawyers","Park Chenaur & Associates, Inc., P.S.","Wattel & York Injury & Accident Attorneys","Seattle Car Accident Law Firm","Herron Law Office, PLLC",
"20+","47.46540399085246","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.46540399085246,47.46540399085246","Fielding Law Group","Khan Law Firm PLLC","Davis Law Group - Injury Lawyers","Khan Law Firm","Tracy Codd","Hardwick & Pendergast, P.S.","Greaney Scudder Law Firm","Habtemariam Law Firm PLLC","Herschensohn Law Firm, PLLC","Bishop Legal","Kannin Law Firm P.S. -Personal Injury Lawyer","Khan Law Firm PLLC","Herron Law Office, PLLC","Dubin Law Group - Personal Injury Attorneys","Edward K. Le, PLLC","Caffee Accident & Injury Lawyers","Lionheart Law","Seattle Car Accident Law Firm","Bernard Law Group","Advocates Law",
"20+","47.47573038170492","-122.35183730594426","https://www.google.com/maps/search/?api=1&query=47.47573038170492,47.47573038170492","Fielding Law Group","Khan Law Firm PLLC","Khan Law Firm","Davis Law Group - Injury Lawyers","Hardwick & Pendergast, P.S.","Habtemariam Law Firm PLLC","Tracy Codd","Greaney Scudder Law Firm","Herron Law Office, PLLC","Herschensohn Law Firm, PLLC","Kannin Law Firm P.S. -Personal Injury Lawyer","Khan Law Firm PLLC","Dubin Law Group - Personal Injury Attorneys","Caffee Accident & Injury Lawyers","Edward K. Le, PLLC","Bernard Law Group","Seattle Car Accident Law Firm","Advocates Law","Bishop Legal","Lionheart Law",
