"Business:","Price Benowitz LLP,409 7th St NW #100, Washington, DC 20004"
"Keyword:","car accident lawyer"
"Report Date:",2021-04-21 13:28:26
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","7.02"
"ATRP:","7.02"
"SoLV:","28.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"9","38.75057172806551","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.75057172806551,38.75057172806551","Becker, Kellogg & Berry, P.C.","Blaszkow Legal","The Schupak Law Firm","Price Benowitz LLP","Hilton & Somer LLC","The Barrera Law Firm, PLLC","Law Offices of Gerald A. Schwartz","Cohen & Cohen, P.C.","Price Benowitz LLP","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Parrish Law Firm, PLLC","David L.Marks","Johnson Law Firm, PC","The Law Offices of Duane O. King","Curcio Law","The Strong Law Firm","Price Benowitz LLP","Zukerberg & Halperin, PLLC","Koonz McKenney Johnson & DePaolis LLP",
"12","38.771224509770434","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.771224509770434,38.771224509770434","Blaszkow Legal","Becker, Kellogg & Berry, P.C.","Hilton & Somer LLC","D Michael Mullori Jr Injury Lawyers","Price Benowitz LLP","Koonz McKenney Johnson & DePaolis LLP","The Schupak Law Firm","Law Offices of Gerald A. Schwartz","The Law Offices of Jeremy Flachs","The Barrera Law Firm, PLLC","Brien Roche Law","Price Benowitz LLP","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Cohen & Cohen, P.C.","Chaikin, Sherman, Cammarata & Siegel, P.C.","Parrish Law Firm, PLLC","Tysons Personal Injury Lawyer","The Strong Law Firm","David L.Marks",
"14","38.79187729147536","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.79187729147536,38.79187729147536","Becker, Kellogg & Berry, P.C.","Blaszkow Legal","Hilton & Somer LLC","Price Benowitz LLP","Koonz McKenney Johnson & DePaolis LLP","The Law Offices of Jeremy Flachs","Law Offices of Gerald A. Schwartz","Chaikin, Sherman, Cammarata & Siegel, P.C.","D Michael Mullori Jr Injury Lawyers","The Barrera Law Firm, PLLC","Cohen & Cohen, P.C.","The Schupak Law Firm","Koonz McKenney Johnson & DePaolis LLP","Price Benowitz LLP","Brien Roche Law","Stephen Terpak","Chaikin, Sherman, Cammarata & Siegel, P.C.","David L.Marks","Tysons Personal Injury Lawyer","Park & Park, P.C.",
"14","38.81253007318029","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.81253007318029,38.81253007318029","Blaszkow Legal","Becker, Kellogg & Berry, P.C.","Hilton & Somer LLC","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","The Law Offices of Jeremy Flachs","Law Offices of Gerald A. Schwartz","Stephen Terpak","Park & Park, P.C.","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","The Barrera Law Firm, PLLC","Price Benowitz LLP","D Michael Mullori Jr Injury Lawyers","Tysons Personal Injury Lawyer","Chaikin, Sherman, Cammarata & Siegel, P.C.","The Strong Law Firm","Brien Roche Law","The Schupak Law Firm",
"14","38.833182854885216","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.833182854885216,38.833182854885216","Blaszkow Legal","Hilton & Somer LLC","Stephen Terpak","Becker, Kellogg & Berry, P.C.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","The Law Offices of Jeremy Flachs","ChasenBoscolo","Law Offices of Gerald A. Schwartz","Cohen & Cohen, P.C.","Park & Park, P.C.","Tysons Personal Injury Lawyer","Price Benowitz LLP","The Strong Law Firm","Koonz McKenney Johnson & DePaolis LLP","Ackerman & Falcon","The Barrera Law Firm, PLLC","D Michael Mullori Jr Injury Lawyers","Brien Roche Law",
"18","38.85383563659014","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.85383563659014,38.85383563659014","Hilton & Somer LLC","Blaszkow Legal","Becker, Kellogg & Berry, P.C.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Tysons Personal Injury Lawyer","The Law Offices of Jeremy Flachs","The Strong Law Firm","ChasenBoscolo","Ackerman & Falcon","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Park & Park, P.C.","Law Offices of Gerald A. Schwartz","Stephen Terpak","Morgenstern Injury Lawyers","Price Benowitz LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Portner & Shure, P.A.",
"18","38.87448841829507","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.87448841829507,38.87448841829507","Hilton & Somer LLC","The Strong Law Firm","Tysons Personal Injury Lawyer","Morgenstern Injury Lawyers","Ackerman & Falcon","Blaszkow Legal","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Portner & Shure, P.A.","Price Benowitz LLP","ChasenBoscolo","Becker, Kellogg & Berry, P.C.","The Law Offices of Jeremy Flachs","Cohen & Cohen, P.C.","Law Offices of Gerald A. Schwartz","Park & Park, P.C.","Koonz McKenney Johnson & DePaolis LLP","Price Benowitz LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Stephen Terpak",
"16","38.8951412","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.8951412,38.8951412","Hilton & Somer LLC","The Strong Law Firm","Tysons Personal Injury Lawyer","Ackerman & Falcon","Morgenstern Injury Lawyers","Portner & Shure, P.A.","Koonz McKenney Johnson & DePaolis LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Blaszkow Legal","ChasenBoscolo","Cohen & Cohen, P.C.","Koonz McKenney Johnson & DePaolis LLP","Becker, Kellogg & Berry, P.C.","Park & Park, P.C.","Price Benowitz LLP","Brien Roche Law","Paul A Samakow, Attorney","Law Offices of Gerald A. Schwartz","Chaikin, Sherman, Cammarata & Siegel, P.C.",
"15","38.91579398170492","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.91579398170492,38.91579398170492","The Strong Law Firm","Tysons Personal Injury Lawyer","Hilton & Somer LLC","Ackerman & Falcon","Morgenstern Injury Lawyers","Portner & Shure, P.A.","Koonz McKenney Johnson & DePaolis LLP","Price Benowitz LLP","Cohen & Cohen, P.C.","ChasenBoscolo","Brien Roche Law","Blaszkow Legal","Koonz McKenney Johnson & DePaolis LLP","Paul A Samakow, Attorney","Price Benowitz LLP","Chaikin, Sherman, Cammarata & Siegel, P.C.","Park & Park, P.C.","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Becker, Kellogg & Berry, P.C.",
"8","38.936446763409855","-77.2074687768687","https://www.google.com/maps/search/?api=1&query=38.936446763409855,38.936446763409855","The Strong Law Firm","Ackerman & Falcon","Portner & Shure, P.A.","Hilton & Somer LLC","Cohen & Cohen, P.C.","Brien Roche Law","Koonz McKenney Johnson & DePaolis LLP","Price Benowitz LLP","Blaszkow Legal","Paul A Samakow, Attorney","Chaikin, Sherman, Cammarata & Siegel, P.C.","Price Benowitz LLP","Price Benowitz LLP","Law Offices of Stuart L. Plotnick, LLC","Malloy Law Offices, LLC","Becker, Kellogg & Berry, P.C.","Sussman & Simcox: Attorneys at Law","Goldberg Finnegan","Greenberg & Bederman, LLC","ChasenBoscolo",
