Your Rank,Latitude,Longitude
20+,25.6918284640328,-80.3396144491174
20+,25.7021548548852,-80.3396144491174
16,25.7124812457377,-80.3396144491174
16,25.7228076365902,-80.3396144491174
14,25.7331340274426,-80.3396144491174
14,25.7434604182951,-80.3396144491174
14,25.7537868091475,-80.3396144491174
16,25.7641132,-80.3396144491174
13,25.7744395908525,-80.3396144491174
10,25.7847659817049,-80.3396144491174
10,25.7950923725574,-80.3396144491174
9,25.8054187634099,-80.3396144491174
8,25.8157451542623,-80.3396144491174
12,25.8260715451148,-80.3396144491174
20,25.8363979359672,-80.3396144491174
20+,25.6918284640328,-80.3281482135292
20+,25.7021548548852,-80.3281482135292
13,25.7124812457377,-80.3281482135292
16,25.7228076365902,-80.3281482135292
16,25.7331340274426,-80.3281482135292
17,25.7434604182951,-80.3281482135292
13,25.7537868091475,-80.3281482135292
15,25.7641132,-80.3281482135292
14,25.7744395908525,-80.3281482135292
9,25.7847659817049,-80.3281482135292
11,25.7950923725574,-80.3281482135292
10,25.8054187634099,-80.3281482135292
7,25.8157451542623,-80.3281482135292
15,25.8260715451148,-80.3281482135292
20+,25.8363979359672,-80.3281482135292
20+,25.6918284640328,-80.316681977941
20+,25.7021548548852,-80.316681977941
20+,25.7124812457377,-80.316681977941
20+,25.7228076365902,-80.316681977941
16,25.7331340274426,-80.316681977941
16,25.7434604182951,-80.316681977941
18,25.7537868091475,-80.316681977941
17,25.7641132,-80.316681977941
12,25.7744395908525,-80.316681977941
11,25.7847659817049,-80.316681977941
13,25.7950923725574,-80.316681977941
13,25.8054187634099,-80.316681977941
11,25.8157451542623,-80.316681977941
16,25.8260715451148,-80.316681977941
20+,25.8363979359672,-80.316681977941
20+,25.6918284640328,-80.3052157423528
20+,25.7021548548852,-80.3052157423528
14,25.7124812457377,-80.3052157423528
18,25.7228076365902,-80.3052157423528
18,25.7331340274426,-80.3052157423528
18,25.7434604182951,-80.3052157423528
14,25.7537868091475,-80.3052157423528
16,25.7641132,-80.3052157423528
14,25.7744395908525,-80.3052157423528
13,25.7847659817049,-80.3052157423528
13,25.7950923725574,-80.3052157423528
13,25.8054187634099,-80.3052157423528
9,25.8157451542623,-80.3052157423528
