Your Rank,Latitude,Longitude
20+,33.9893790640328,-118.373138237184
20+,33.9997054548852,-118.373138237184
20+,34.0100318457377,-118.373138237184
20+,34.0203582365901,-118.373138237184
20+,34.0306846274426,-118.373138237184
20+,34.0410110182951,-118.373138237184
20+,34.0513374091475,-118.373138237184
20+,34.0616638,-118.373138237184
20+,34.0719901908525,-118.373138237184
20+,34.0823165817049,-118.373138237184
20+,34.0926429725574,-118.373138237184
20+,34.1029693634099,-118.373138237184
20+,34.1132957542623,-118.373138237184
20+,34.1236221451148,-118.373138237184
20+,34.1339485359672,-118.373138237184
20+,33.9893790640328,-118.3606733033
20+,33.9997054548852,-118.3606733033
20+,34.0100318457377,-118.3606733033
20+,34.0203582365901,-118.3606733033
20+,34.0306846274426,-118.3606733033
20+,34.0410110182951,-118.3606733033
20+,34.0513374091475,-118.3606733033
20+,34.0616638,-118.3606733033
20+,34.0719901908525,-118.3606733033
20+,34.0823165817049,-118.3606733033
20+,34.0926429725574,-118.3606733033
20+,34.1029693634099,-118.3606733033
20+,34.1132957542623,-118.3606733033
20+,34.1236221451148,-118.3606733033
20+,34.1339485359672,-118.3606733033
20+,33.9893790640328,-118.348208369417
20+,33.9997054548852,-118.348208369417
20+,34.0100318457377,-118.348208369417
20+,34.0203582365901,-118.348208369417
20+,34.0306846274426,-118.348208369417
20+,34.0410110182951,-118.348208369417
20+,34.0513374091475,-118.348208369417
20+,34.0616638,-118.348208369417
20+,34.0719901908525,-118.348208369417
20+,34.0823165817049,-118.348208369417
20+,34.0926429725574,-118.348208369417
20+,34.1029693634099,-118.348208369417
20+,34.1132957542623,-118.348208369417
20+,34.1236221451148,-118.348208369417
20+,34.1339485359672,-118.348208369417
20+,33.9893790640328,-118.335743435534
20+,33.9997054548852,-118.335743435534
20+,34.0100318457377,-118.335743435534
20+,34.0203582365901,-118.335743435534
20+,34.0306846274426,-118.335743435534
20+,34.0410110182951,-118.335743435534
20+,34.0513374091475,-118.335743435534
20+,34.0616638,-118.335743435534
20+,34.0719901908525,-118.335743435534
20+,34.0823165817049,-118.335743435534
20+,34.0926429725574,-118.335743435534
20+,34.1029693634099,-118.335743435534
20+,34.1132957542623,-118.335743435534
20+,34.1236221451148,-118.335743435534
20+,34.1339485359672,-118.335743435534
20+,33.9893790640328,-118.32327850165
20+,33.9997054548852,-118.32327850165
20+,34.0100318457377,-118.32327850165
20+,34.0203582365901,-118.32327850165
20+,34.0306846274426,-118.32327850165
20+,34.0410110182951,-118.32327850165
20+,34.0513374091475,-118.32327850165
20+,34.0616638,-118.32327850165
20+,34.0719901908525,-118.32327850165
20+,34.0823165817049,-118.32327850165
20+,34.0926429725574,-118.32327850165
20+,34.1029693634099,-118.32327850165
20+,34.1132957542623,-118.32327850165
20+,34.1236221451148,-118.32327850165
20+,34.1339485359672,-118.32327850165
20+,33.9893790640328,-118.310813567767
20+,33.9997054548852,-118.310813567767
20+,34.0100318457377,-118.310813567767
20+,34.0203582365901,-118.310813567767
20+,34.0306846274426,-118.310813567767
20+,34.0410110182951,-118.310813567767
20+,34.0513374091475,-118.310813567767
20+,34.0616638,-118.310813567767
20+,34.0719901908525,-118.310813567767
20+,34.0823165817049,-118.310813567767
20+,34.0926429725574,-118.310813567767
20+,34.1029693634099,-118.310813567767
20+,34.1132957542623,-118.310813567767
20+,34.1236221451148,-118.310813567767
20+,34.1339485359672,-118.310813567767
20+,33.9893790640328,-118.298348633883
20+,33.9997054548852,-118.298348633883
20+,34.0100318457377,-118.298348633883
20+,34.0203582365901,-118.298348633883
20+,34.0306846274426,-118.298348633883
20+,34.0410110182951,-118.298348633883
20+,34.0513374091475,-118.298348633883
20+,34.0616638,-118.298348633883
20+,34.0719901908525,-118.298348633883
20+,34.0823165817049,-118.298348633883
20+,34.0926429725574,-118.298348633883
20+,34.1029693634099,-118.298348633883
20+,34.1132957542623,-118.298348633883
20+,34.1236221451148,-118.298348633883
20+,34.1339485359672,-118.298348633883
20+,33.9893790640328,-118.2858837
20+,33.9997054548852,-118.2858837
20+,34.0100318457377,-118.2858837
20+,34.0203582365901,-118.2858837
20+,34.0306846274426,-118.2858837
20+,34.0410110182951,-118.2858837
20+,34.0513374091475,-118.2858837
18,34.0616638,-118.2858837
20+,34.0719901908525,-118.2858837
20+,34.0823165817049,-118.2858837
20+,34.0926429725574,-118.2858837
20+,34.1029693634099,-118.2858837
20+,34.1132957542623,-118.2858837
20+,34.1236221451148,-118.2858837
20+,34.1339485359672,-118.2858837
20+,33.9893790640328,-118.273418766117
20+,33.9997054548852,-118.273418766117
20+,34.0100318457377,-118.273418766117
20+,34.0203582365901,-118.273418766117
20+,34.0306846274426,-118.273418766117
20+,34.0410110182951,-118.273418766117
20+,34.0513374091475,-118.273418766117
20+,34.0616638,-118.273418766117
20+,34.0719901908525,-118.273418766117
20+,34.0823165817049,-118.273418766117
20+,34.0926429725574,-118.273418766117
20+,34.1029693634099,-118.273418766117
