Your Rank,Latitude,Longitude
20+,33.8034429640328,-84.465574777739
20+,33.8137693548852,-84.465574777739
6,33.8240957457377,-84.465574777739
6,33.8344221365901,-84.465574777739
7,33.8447485274426,-84.465574777739
6,33.8550749182951,-84.465574777739
7,33.8654013091475,-84.465574777739
7,33.8757277,-84.465574777739
7,33.8860540908525,-84.465574777739
6,33.8963804817049,-84.465574777739
6,33.9067068725574,-84.465574777739
6,33.9170332634099,-84.465574777739
5,33.9273596542623,-84.465574777739
9,33.9376860451148,-84.465574777739
16,33.9480124359672,-84.465574777739
20+,33.8034429640328,-84.4531370666334
20+,33.8137693548852,-84.4531370666334
8,33.8240957457377,-84.4531370666334
8,33.8344221365901,-84.4531370666334
9,33.8447485274426,-84.4531370666334
7,33.8550749182951,-84.4531370666334
8,33.8654013091475,-84.4531370666334
7,33.8757277,-84.4531370666334
7,33.8860540908525,-84.4531370666334
5,33.8963804817049,-84.4531370666334
5,33.9067068725574,-84.4531370666334
5,33.9170332634099,-84.4531370666334
5,33.9273596542623,-84.4531370666334
8,33.9376860451148,-84.4531370666334
13,33.9480124359672,-84.4531370666334
20+,33.8034429640328,-84.4406993555278
20+,33.8137693548852,-84.4406993555278
10,33.8240957457377,-84.4406993555278
10,33.8344221365901,-84.4406993555278
9,33.8447485274426,-84.4406993555278
7,33.8550749182951,-84.4406993555278
7,33.8654013091475,-84.4406993555278
7,33.8757277,-84.4406993555278
6,33.8860540908525,-84.4406993555278
3,33.8963804817049,-84.4406993555278
4,33.9067068725574,-84.4406993555278
4,33.9170332634099,-84.4406993555278
4,33.9273596542623,-84.4406993555278
10,33.9376860451148,-84.4406993555278
8,33.9480124359672,-84.4406993555278
20+,33.8034429640328,-84.4282616444223
20+,33.8137693548852,-84.4282616444223
10,33.8240957457377,-84.4282616444223
10,33.8344221365901,-84.4282616444223
9,33.8447485274426,-84.4282616444223
7,33.8550749182951,-84.4282616444223
7,33.8654013091475,-84.4282616444223
7,33.8757277,-84.4282616444223
6,33.8860540908525,-84.4282616444223
5,33.8963804817049,-84.4282616444223
5,33.9067068725574,-84.4282616444223
5,33.9170332634099,-84.4282616444223
5,33.9273596542623,-84.4282616444223
11,33.9376860451148,-84.4282616444223
15,33.9480124359672,-84.4282616444223
20+,33.8034429640328,-84.4158239333167
20+,33.8137693548852,-84.4158239333167
11,33.8240957457377,-84.4158239333167
10,33.8344221365901,-84.4158239333167
9,33.8447485274426,-84.4158239333167
7,33.8550749182951,-84.4158239333167
7,33.8654013091475,-84.4158239333167
6,33.8757277,-84.4158239333167
7,33.8860540908525,-84.4158239333167
6,33.8963804817049,-84.4158239333167
4,33.9067068725574,-84.4158239333167
4,33.9170332634099,-84.4158239333167
5,33.9273596542623,-84.4158239333167
11,33.9376860451148,-84.4158239333167
15,33.9480124359672,-84.4158239333167
20+,33.8034429640328,-84.4033862222111
20+,33.8137693548852,-84.4033862222111
11,33.8240957457377,-84.4033862222111
11,33.8344221365901,-84.4033862222111
11,33.8447485274426,-84.4033862222111
7,33.8550749182951,-84.4033862222111
