Your Rank,Latitude,Longitude
20+,33.9761289640328,-118.532665999595
20+,33.9864553548852,-118.532665999595
20+,33.9967817457377,-118.532665999595
20+,34.0071081365901,-118.532665999595
20+,34.0174345274426,-118.532665999595
20+,34.0277609182951,-118.532665999595
20+,34.0380873091475,-118.532665999595
20+,34.0484137,-118.532665999595
20+,34.0587400908525,-118.532665999595
20+,34.0690664817049,-118.532665999595
20+,34.0793928725574,-118.532665999595
20+,34.0897192634099,-118.532665999595
20+,34.1000456542623,-118.532665999595
20+,34.1103720451148,-118.532665999595
20+,34.1206984359672,-118.532665999595
20+,33.9761289640328,-118.520203013938
20+,33.9864553548852,-118.520203013938
20+,33.9967817457377,-118.520203013938
20+,34.0071081365901,-118.520203013938
20+,34.0174345274426,-118.520203013938
20+,34.0277609182951,-118.520203013938
20+,34.0380873091475,-118.520203013938
20+,34.0484137,-118.520203013938
20+,34.0587400908525,-118.520203013938
20+,34.0690664817049,-118.520203013938
20+,34.0793928725574,-118.520203013938
20+,34.0897192634099,-118.520203013938
20+,34.1000456542623,-118.520203013938
20+,34.1103720451148,-118.520203013938
20+,34.1206984359672,-118.520203013938
20+,33.9761289640328,-118.507740028282
20+,33.9864553548852,-118.507740028282
20+,33.9967817457377,-118.507740028282
20+,34.0071081365901,-118.507740028282
20+,34.0174345274426,-118.507740028282
20+,34.0277609182951,-118.507740028282
20+,34.0380873091475,-118.507740028282
20+,34.0484137,-118.507740028282
20+,34.0587400908525,-118.507740028282
20+,34.0690664817049,-118.507740028282
20+,34.0793928725574,-118.507740028282
20+,34.0897192634099,-118.507740028282
20+,34.1000456542623,-118.507740028282
20+,34.1103720451148,-118.507740028282
20+,34.1206984359672,-118.507740028282
20+,33.9761289640328,-118.495277042626
20+,33.9864553548852,-118.495277042626
20+,33.9967817457377,-118.495277042626
20+,34.0071081365901,-118.495277042626
20+,34.0174345274426,-118.495277042626
20+,34.0277609182951,-118.495277042626
20+,34.0380873091475,-118.495277042626
20+,34.0484137,-118.495277042626
20+,34.0587400908525,-118.495277042626
20+,34.0690664817049,-118.495277042626
20+,34.0793928725574,-118.495277042626
20+,34.0897192634099,-118.495277042626
20+,34.1000456542623,-118.495277042626
20+,34.1103720451148,-118.495277042626
20+,34.1206984359672,-118.495277042626
20+,33.9761289640328,-118.482814056969
20+,33.9864553548852,-118.482814056969
20+,33.9967817457377,-118.482814056969
20+,34.0071081365901,-118.482814056969
20+,34.0174345274426,-118.482814056969
20+,34.0277609182951,-118.482814056969
20+,34.0380873091475,-118.482814056969
20+,34.0484137,-118.482814056969
20+,34.0587400908525,-118.482814056969
20+,34.0690664817049,-118.482814056969
20+,34.0793928725574,-118.482814056969
20+,34.0897192634099,-118.482814056969
20+,34.1000456542623,-118.482814056969
20+,34.1103720451148,-118.482814056969
20+,34.1206984359672,-118.482814056969
20+,33.9761289640328,-118.470351071313
20+,33.9864553548852,-118.470351071313
20+,33.9967817457377,-118.470351071313
20+,34.0071081365901,-118.470351071313
20+,34.0174345274426,-118.470351071313
20+,34.0277609182951,-118.470351071313
20+,34.0380873091475,-118.470351071313
20+,34.0484137,-118.470351071313
20+,34.0587400908525,-118.470351071313
20+,34.0690664817049,-118.470351071313
20+,34.0793928725574,-118.470351071313
20+,34.0897192634099,-118.470351071313
20+,34.1000456542623,-118.470351071313
20+,34.1103720451148,-118.470351071313
20+,34.1206984359672,-118.470351071313
20+,33.9761289640328,-118.457888085656
20+,33.9864553548852,-118.457888085656
20+,33.9967817457377,-118.457888085656
20+,34.0071081365901,-118.457888085656
20+,34.0174345274426,-118.457888085656
20+,34.0277609182951,-118.457888085656
20+,34.0380873091475,-118.457888085656
20+,34.0484137,-118.457888085656
20+,34.0587400908525,-118.457888085656
20+,34.0690664817049,-118.457888085656
20+,34.0793928725574,-118.457888085656
20+,34.0897192634099,-118.457888085656
20+,34.1000456542623,-118.457888085656
20+,34.1103720451148,-118.457888085656
20+,34.1206984359672,-118.457888085656
20+,33.9761289640328,-118.4454251
20+,33.9864553548852,-118.4454251
20+,33.9967817457377,-118.4454251
20+,34.0071081365901,-118.4454251
20+,34.0174345274426,-118.4454251
20+,34.0277609182951,-118.4454251
20+,34.0380873091475,-118.4454251
6,34.0484137,-118.4454251
20+,34.0587400908525,-118.4454251
20+,34.0690664817049,-118.4454251
20+,34.0793928725574,-118.4454251
20+,34.0897192634099,-118.4454251
20+,34.1000456542623,-118.4454251
20+,34.1103720451148,-118.4454251
20+,34.1206984359672,-118.4454251
20+,33.9761289640328,-118.432962114344
20+,33.9864553548852,-118.432962114344
20+,33.9967817457377,-118.432962114344
20+,34.0071081365901,-118.432962114344
20+,34.0174345274426,-118.432962114344
20+,34.0277609182951,-118.432962114344
20+,34.0380873091475,-118.432962114344
20+,34.0484137,-118.432962114344
20+,34.0587400908525,-118.432962114344
20+,34.0690664817049,-118.432962114344
20+,34.0793928725574,-118.432962114344
20+,34.0897192634099,-118.432962114344
20+,34.1000456542623,-118.432962114344
20+,34.1103720451148,-118.432962114344
20+,34.1206984359672,-118.432962114344
20+,33.9761289640328,-118.420499128687
20+,33.9864553548852,-118.420499128687
20+,33.9967817457377,-118.420499128687
20+,34.0071081365901,-118.420499128687
20+,34.0174345274426,-118.420499128687
20+,34.0277609182951,-118.420499128687
20+,34.0380873091475,-118.420499128687
20+,34.0484137,-118.420499128687
20+,34.0587400908525,-118.420499128687
20+,34.0690664817049,-118.420499128687
20+,34.0793928725574,-118.420499128687
20+,34.0897192634099,-118.420499128687
20+,34.1000456542623,-118.420499128687
20+,34.1103720451148,-118.420499128687
20+,34.1206984359672,-118.420499128687
20+,33.9761289640328,-118.408036143031
20+,33.9864553548852,-118.408036143031
20+,33.9967817457377,-118.408036143031
20+,34.0071081365901,-118.408036143031
20+,34.0174345274426,-118.408036143031
20+,34.0277609182951,-118.408036143031
20+,34.0380873091475,-118.408036143031
20+,34.0484137,-118.408036143031
20+,34.0587400908525,-118.408036143031
20+,34.0690664817049,-118.408036143031
20+,34.0793928725574,-118.408036143031
20+,34.0897192634099,-118.408036143031
20+,34.1000456542623,-118.408036143031
20+,34.1103720451148,-118.408036143031
20+,34.1206984359672,-118.408036143031
20+,33.9761289640328,-118.395573157374
20+,33.9864553548852,-118.395573157374
20+,33.9967817457377,-118.395573157374
20+,34.0071081365901,-118.395573157374
20+,34.0174345274426,-118.395573157374
20+,34.0277609182951,-118.395573157374
20+,34.0380873091475,-118.395573157374
20+,34.0484137,-118.395573157374
20+,34.0587400908525,-118.395573157374
20+,34.0690664817049,-118.395573157374
20+,34.0793928725574,-118.395573157374
20+,34.0897192634099,-118.395573157374
20+,34.1000456542623,-118.395573157374
20+,34.1103720451148,-118.395573157374
20+,34.1206984359672,-118.395573157374
20+,33.9761289640328,-118.383110171718
20+,33.9864553548852,-118.383110171718
20+,33.9967817457377,-118.383110171718
20+,34.0071081365901,-118.383110171718
20+,34.0174345274426,-118.383110171718
20+,34.0277609182951,-118.383110171718
20+,34.0380873091475,-118.383110171718
20+,34.0484137,-118.383110171718
20+,34.0587400908525,-118.383110171718
20+,34.0690664817049,-118.383110171718
20+,34.0793928725574,-118.383110171718
20+,34.0897192634099,-118.383110171718
20+,34.1000456542623,-118.383110171718
20+,34.1103720451148,-118.383110171718
20+,34.1206984359672,-118.383110171718
20+,33.9761289640328,-118.370647186062
20+,33.9864553548852,-118.370647186062
20+,33.9967817457377,-118.370647186062
20+,34.0071081365901,-118.370647186062
20+,34.0174345274426,-118.370647186062
20+,34.0277609182951,-118.370647186062
20+,34.0380873091475,-118.370647186062
20+,34.0484137,-118.370647186062
20+,34.0587400908525,-118.370647186062
20+,34.0690664817049,-118.370647186062
20+,34.0793928725574,-118.370647186062
20+,34.0897192634099,-118.370647186062
20+,34.1000456542623,-118.370647186062
20+,34.1103720451148,-118.370647186062
20+,34.1206984359672,-118.370647186062
20+,33.9761289640328,-118.358184200405
20+,33.9864553548852,-118.358184200405
20+,33.9967817457377,-118.358184200405
20+,34.0071081365901,-118.358184200405
20+,34.0174345274426,-118.358184200405
20+,34.0277609182951,-118.358184200405
20+,34.0380873091475,-118.358184200405
20+,34.0484137,-118.358184200405
20+,34.0587400908525,-118.358184200405
20+,34.0690664817049,-118.358184200405
20+,34.0793928725574,-118.358184200405
20+,34.0897192634099,-118.358184200405
20+,34.1000456542623,-118.358184200405
20+,34.1103720451148,-118.358184200405
20+,34.1206984359672,-118.358184200405
