Your Rank,Latitude,Longitude
20+,38.8310490640328,-77.1235522044346
20+,38.8413754548852,-77.1235522044346
20+,38.8517018457377,-77.1235522044346
20+,38.8620282365901,-77.1235522044346
20+,38.8723546274426,-77.1235522044346
20+,38.8826810182951,-77.1235522044346
16,38.8930074091475,-77.1235522044346
20+,38.9033338,-77.1235522044346
20+,38.9136601908525,-77.1235522044346
20+,38.9239865817049,-77.1235522044346
17,38.9343129725574,-77.1235522044346
20+,38.9446393634099,-77.1235522044346
20+,38.9549657542623,-77.1235522044346
20+,38.9652921451148,-77.1235522044346
20+,38.9756185359672,-77.1235522044346
20+,38.8310490640328,-77.1102827323725
20+,38.8413754548852,-77.1102827323725
20+,38.8517018457377,-77.1102827323725
20+,38.8620282365901,-77.1102827323725
20,38.8723546274426,-77.1102827323725
10,38.8826810182951,-77.1102827323725
13,38.8930074091475,-77.1102827323725
15,38.9033338,-77.1102827323725
13,38.9136601908525,-77.1102827323725
14,38.9239865817049,-77.1102827323725
14,38.9343129725574,-77.1102827323725
15,38.9446393634099,-77.1102827323725
17,38.9549657542623,-77.1102827323725
20+,38.9652921451148,-77.1102827323725
20+,38.9756185359672,-77.1102827323725
20+,38.8310490640328,-77.0970132603104
20+,38.8413754548852,-77.0970132603104
20+,38.8517018457377,-77.0970132603104
18,38.8620282365901,-77.0970132603104
10,38.8723546274426,-77.0970132603104
17,38.8826810182951,-77.0970132603104
15,38.8930074091475,-77.0970132603104
20,38.9033338,-77.0970132603104
10,38.9136601908525,-77.0970132603104
12,38.9239865817049,-77.0970132603104
13,38.9343129725574,-77.0970132603104
12,38.9446393634099,-77.0970132603104
15,38.9549657542623,-77.0970132603104
20+,38.9652921451148,-77.0970132603104
20+,38.9756185359672,-77.0970132603104
20+,38.8310490640328,-77.0837437882484
20+,38.8413754548852,-77.0837437882484
20+,38.8517018457377,-77.0837437882484
19,38.8620282365901,-77.0837437882484
17,38.8723546274426,-77.0837437882484
16,38.8826810182951,-77.0837437882484
15,38.8930074091475,-77.0837437882484
8,38.9033338,-77.0837437882484
11,38.9136601908525,-77.0837437882484
12,38.9239865817049,-77.0837437882484
13,38.9343129725574,-77.0837437882484
13,38.9446393634099,-77.0837437882484
14,38.9549657542623,-77.0837437882484
20+,38.9652921451148,-77.0837437882484
20+,38.9756185359672,-77.0837437882484
20+,38.8310490640328,-77.0704743161863
20+,38.8413754548852,-77.0704743161863
20+,38.8517018457377,-77.0704743161863
16,38.8620282365901,-77.0704743161863
14,38.8723546274426,-77.0704743161863
14,38.8826810182951,-77.0704743161863
12,38.8930074091475,-77.0704743161863
13,38.9033338,-77.0704743161863
15,38.9136601908525,-77.0704743161863
12,38.9239865817049,-77.0704743161863
14,38.9343129725574,-77.0704743161863
13,38.9446393634099,-77.0704743161863
13,38.9549657542623,-77.0704743161863
20+,38.9652921451148,-77.0704743161863
20+,38.9756185359672,-77.0704743161863
20+,38.8310490640328,-77.0572048441242
20+,38.8413754548852,-77.0572048441242
15,38.8517018457377,-77.0572048441242
15,38.8620282365901,-77.0572048441242
10,38.8723546274426,-77.0572048441242
12,38.8826810182951,-77.0572048441242
12,38.8930074091475,-77.0572048441242
12,38.9033338,-77.0572048441242
12,38.9136601908525,-77.0572048441242
11,38.9239865817049,-77.0572048441242
14,38.9343129725574,-77.0572048441242
13,38.9446393634099,-77.0572048441242
11,38.9549657542623,-77.0572048441242
20+,38.9652921451148,-77.0572048441242
20+,38.9756185359672,-77.0572048441242
20+,38.8310490640328,-77.0439353720621
20+,38.8413754548852,-77.0439353720621
18,38.8517018457377,-77.0439353720621
12,38.8620282365901,-77.0439353720621
13,38.8723546274426,-77.0439353720621
11,38.8826810182951,-77.0439353720621
11,38.8930074091475,-77.0439353720621
12,38.9033338,-77.0439353720621
12,38.9136601908525,-77.0439353720621
10,38.9239865817049,-77.0439353720621
13,38.9343129725574,-77.0439353720621
13,38.9446393634099,-77.0439353720621
13,38.9549657542623,-77.0439353720621
20+,38.9652921451148,-77.0439353720621
20+,38.9756185359672,-77.0439353720621
20+,38.8310490640328,-77.0306659
20+,38.8413754548852,-77.0306659
17,38.8517018457377,-77.0306659
12,38.8620282365901,-77.0306659
12,38.8723546274426,-77.0306659
11,38.8826810182951,-77.0306659
11,38.8930074091475,-77.0306659
1,38.9033338,-77.0306659
10,38.9136601908525,-77.0306659
11,38.9239865817049,-77.0306659
13,38.9343129725574,-77.0306659
13,38.9446393634099,-77.0306659
13,38.9549657542623,-77.0306659
20+,38.9652921451148,-77.0306659
20+,38.9756185359672,-77.0306659
20+,38.8310490640328,-77.0173964279379
20+,38.8413754548852,-77.0173964279379
10,38.8517018457377,-77.0173964279379
12,38.8620282365901,-77.0173964279379
12,38.8723546274426,-77.0173964279379
11,38.8826810182951,-77.0173964279379
12,38.8930074091475,-77.0173964279379
11,38.9033338,-77.0173964279379
11,38.9136601908525,-77.0173964279379
11,38.9239865817049,-77.0173964279379
13,38.9343129725574,-77.0173964279379
13,38.9446393634099,-77.0173964279379
13,38.9549657542623,-77.0173964279379
20+,38.9652921451148,-77.0173964279379
20+,38.9756185359672,-77.0173964279379
20+,38.8310490640328,-77.0041269558758
20+,38.8413754548852,-77.0041269558758
16,38.8517018457377,-77.0041269558758
12,38.8620282365901,-77.0041269558758
13,38.8723546274426,-77.0041269558758
11,38.8826810182951,-77.0041269558758
6,38.8930074091475,-77.0041269558758
11,38.9033338,-77.0041269558758
11,38.9136601908525,-77.0041269558758
11,38.9239865817049,-77.0041269558758
13,38.9343129725574,-77.0041269558758
12,38.9446393634099,-77.0041269558758
13,38.9549657542623,-77.0041269558758
20+,38.9652921451148,-77.0041269558758
20+,38.9756185359672,-77.0041269558758
20+,38.8310490640328,-76.9908574838138
20+,38.8413754548852,-76.9908574838138
17,38.8517018457377,-76.9908574838138
13,38.8620282365901,-76.9908574838138
13,38.8723546274426,-76.9908574838138
12,38.8826810182951,-76.9908574838138
13,38.8930074091475,-76.9908574838138
11,38.9033338,-76.9908574838138
11,38.9136601908525,-76.9908574838138
11,38.9239865817049,-76.9908574838138
13,38.9343129725574,-76.9908574838138
12,38.9446393634099,-76.9908574838138
13,38.9549657542623,-76.9908574838138
20+,38.9652921451148,-76.9908574838138
20+,38.9756185359672,-76.9908574838138
20+,38.8310490640328,-76.9775880117517
20,38.8413754548852,-76.9775880117517
16,38.8517018457377,-76.9775880117517
13,38.8620282365901,-76.9775880117517
13,38.8723546274426,-76.9775880117517
12,38.8826810182951,-76.9775880117517
11,38.8930074091475,-76.9775880117517
11,38.9033338,-76.9775880117517
11,38.9136601908525,-76.9775880117517
11,38.9239865817049,-76.9775880117517
13,38.9343129725574,-76.9775880117517
9,38.9446393634099,-76.9775880117517
14,38.9549657542623,-76.9775880117517
20+,38.9652921451148,-76.9775880117517
20+,38.9756185359672,-76.9775880117517
20,38.8310490640328,-76.9643185396896
19,38.8413754548852,-76.9643185396896
16,38.8517018457377,-76.9643185396896
14,38.8620282365901,-76.9643185396896
13,38.8723546274426,-76.9643185396896
7,38.8826810182951,-76.9643185396896
7,38.8930074091475,-76.9643185396896
12,38.9033338,-76.9643185396896
11,38.9136601908525,-76.9643185396896
12,38.9239865817049,-76.9643185396896
13,38.9343129725574,-76.9643185396896
13,38.9446393634099,-76.9643185396896
15,38.9549657542623,-76.9643185396896
20+,38.9652921451148,-76.9643185396896
20+,38.9756185359672,-76.9643185396896
20,38.8310490640328,-76.9510490676275
18,38.8413754548852,-76.9510490676275
15,38.8517018457377,-76.9510490676275
12,38.8620282365901,-76.9510490676275
12,38.8723546274426,-76.9510490676275
12,38.8826810182951,-76.9510490676275
17,38.8930074091475,-76.9510490676275
12,38.9033338,-76.9510490676275
12,38.9136601908525,-76.9510490676275
12,38.9239865817049,-76.9510490676275
13,38.9343129725574,-76.9510490676275
14,38.9446393634099,-76.9510490676275
15,38.9549657542623,-76.9510490676275
20+,38.9652921451148,-76.9510490676275
20+,38.9756185359672,-76.9510490676275
20,38.8310490640328,-76.9377795955654
20,38.8413754548852,-76.9377795955654
18,38.8517018457377,-76.9377795955654
18,38.8620282365901,-76.9377795955654
17,38.8723546274426,-76.9377795955654
16,38.8826810182951,-76.9377795955654
16,38.8930074091475,-76.9377795955654
14,38.9033338,-76.9377795955654
15,38.9136601908525,-76.9377795955654
15,38.9239865817049,-76.9377795955654
17,38.9343129725574,-76.9377795955654
18,38.9446393634099,-76.9377795955654
20,38.9549657542623,-76.9377795955654
20+,38.9652921451148,-76.9377795955654
20+,38.9756185359672,-76.9377795955654
